SG_SG,SG_PL,PL_SG,PL_PL,model_name
-54.82531127399987,-53.12748344799999,-55.43555004600007,-52.111846771999936,wuz-pred-adj
-51.22516288200007,-44.835187462,-51.151750501999956,-44.33132704200011,wuz-reflexive
-54.03819824800008,-55.59373234600005,-55.87122386000006,-54.82915762400005,wuz-simple
-61.56361039000007,-63.411363474000034,-63.77511702999994,-62.60334518399999,wuz-lifted
-55.317036298000026,-54.25891643800008,-55.851824144000126,-53.38055114400002,wuz-around
-56.53555284799996,-56.60081583999991,-57.52935955399994,-55.403603882,wuz-all-over
-56.36365968200003,-57.600900861999946,-57.88681134399997,-56.815420782000096,wuz-world-coll
-63.59152026999988,-63.66703849200004,-64.30454594000003,-64.24590993400001,wuz-throughout-new
-55.04197395000002,-54.27322590399993,-55.73776353800011,-54.14505352999997,wuz-around-new
-55.033492008000145,-52.285340304000044,-54.677032320000016,-51.30598797599992,wuz-all-over-new
-52.421324823999875,-53.689046781999906,-53.91852289999994,-52.48147016199995,wuz-throughout
-64.96753751066666,-66.43563306606669,-66.64587962200001,-65.29753000413334,wuz-base
-51.59087488399998,-50.54853717000012,-52.609671473999896,-50.33924090799994,wuz-lexical-dist
-53.673859313999955,-51.20880713800002,-54.94855050599989,-51.56245596599998,wuz-side-by-side
-60.718379231999926,-62.08370780400002,-61.93850337399997,-61.09876054800005,wuz-gathered
-53.04696302000005,-50.53952765000009,-53.02532486399997,-49.693998787999895,wuz-lexical-coll
-59.22628741400007,-58.97351566199994,-60.06282798200001,-57.587192392000006,wuz-constituted
-59.42604166400014,-58.03531677799987,-60.055841083999965,-57.598861502000055,wuz-exchanged
-57.33157855999999,-56.58699803199994,-57.735395145999995,-54.84870627199998,wuz-outnumbered
-55.98143352199992,-55.06245622200002,-58.0371972739999,-55.777026914000004,wuz-simultaneously
-51.63317105400006,-51.73693786,-54.63866106600005,-51.47781106399997,wuz-unison
-55.463536863999984,-53.53542050599993,-55.957194323999914,-53.173316837999934,wuz-unanimously
-60.72546314399995,-56.546818796,-59.98576021800003,-55.51656787999995,wuz-together
-55.23728707999993,-55.17369637,-56.90858920400003,-54.20250709599999,wuz-formed
