SG_SG,SG_PL,PL_SG,PL_PL,model_name
-55.28474734399993,-52.85152329199995,-55.55422528200009,-52.06910325200004,wuz-pred-adj
-52.161255944000004,-45.968776550000015,-51.893578292000015,-44.81821315000003,wuz-reflexive
-55.41345486000003,-57.07010329399994,-56.11926095599999,-55.127972258000014,wuz-simple
-60.69786197400006,-62.50438045799993,-62.097530174000106,-61.19237475799989,wuz-lifted
-57.16652137799997,-56.23707085200013,-57.53523607799997,-55.286210879999985,wuz-around
-57.850471109999916,-57.89949936800003,-59.1151134220001,-56.64076848799991,wuz-all-over
-57.01216637000005,-58.26174986399995,-58.607135217999954,-57.221677508000155,wuz-world-coll
-65.54461068800003,-65.64525855599992,-65.99334845999992,-65.90297340600003,wuz-throughout-new
-56.95548501799995,-56.17961626600006,-57.428270612000055,-55.48639714000005,wuz-around-new
-55.87824505000003,-53.44403847600001,-55.79670908199997,-52.189726435999894,wuz-all-over-new
-52.69994595199999,-53.787777696000006,-53.57550230200002,-52.22998959000009,wuz-throughout
-65.25209218459999,-66.58589446393334,-66.47475197093333,-65.29132612726667,wuz-base
-53.027024368,-52.34587512000009,-53.990951862,-51.66051797999998,wuz-lexical-dist
-55.14030233599994,-52.91553843400001,-56.63988570199996,-53.209107203999984,wuz-side-by-side
-60.506898002000106,-62.009509094000045,-61.23409667399997,-60.062650574000045,wuz-gathered
-53.825695973999984,-51.85762088,-53.94768338400006,-50.79479558600002,wuz-lexical-coll
-60.805123894,-59.155967628,-61.15080726600006,-58.23058714799999,wuz-constituted
-62.61507424799991,-60.626611913999994,-63.10249245200002,-59.90978078600002,wuz-exchanged
-60.766976183999965,-60.28062603399991,-60.95156409600001,-58.03886865600005,wuz-outnumbered
-57.48395431399998,-57.613230958000095,-59.342665324000066,-57.709380454000005,wuz-simultaneously
-55.93700692199998,-55.36088776000006,-57.43329145400003,-54.277112689999946,wuz-unison
-56.93534723799998,-55.631695682,-57.14497619399998,-54.524461092000045,wuz-unanimously
-61.16862937199991,-57.516487775999934,-61.54323509799997,-56.98838785200012,wuz-together
-54.24278555399999,-54.27543357600002,-55.57557275799998,-53.228638572000015,wuz-formed
