SG_SG,SG_PL,PL_SG,PL_PL,model_name
-64.29007896400007,-61.871189445999995,-64.58569980200006,-60.643042137999984,wuz-pred-adj
-59.58524291400002,-53.903181001999926,-60.4815854600001,-53.59454398799998,wuz-reflexive
-60.43157319200007,-61.71019144200008,-61.82146332199999,-60.73533968199996,wuz-simple
-60.423909057999985,-62.73804358599991,-62.171711516000016,-61.756446656000044,wuz-lifted
-59.214255359999925,-59.40672980600001,-61.205365416000014,-58.79078115199988,wuz-around
-59.06967650800009,-59.85169743400002,-59.99422995999998,-59.59607686799998,wuz-all-over
-56.704986934000026,-57.813708586000025,-57.39980455799986,-56.53241923400004,wuz-world-coll
-59.512175863999985,-60.39853230999995,-61.51059343599999,-59.513826804,wuz-throughout-new
-59.420897618000005,-58.47948470000003,-61.41289393399997,-58.95190299199996,wuz-around-new
-59.20737244800004,-57.07426740400005,-61.65728487800005,-57.48580666000001,wuz-all-over-new
-57.04935790799999,-58.35684406000001,-58.01011701999998,-57.288093141999965,wuz-throughout
-56.93384405713335,-58.28357320279997,-58.56020531206669,-57.32781993866667,wuz-base
-57.167329133999985,-55.556402052,-58.660211365999984,-55.36752841400007,wuz-lexical-dist
-56.762262562000004,-55.35233656799989,-58.49804232199997,-55.29773275799994,wuz-side-by-side
-63.976378324000095,-64.44559365800004,-64.48829320200004,-62.95562584400006,wuz-gathered
-57.709959176000034,-57.190141247999854,-59.35403356000002,-56.507256636000044,wuz-lexical-coll
-61.22513847599992,-61.47780246000012,-62.44117197799996,-59.97117255599995,wuz-constituted
-65.70652695600005,-64.18954956600005,-66.55566304600002,-63.529560519999976,wuz-exchanged
-62.7876266339999,-63.15645497999992,-63.80763496399992,-61.01357963399997,wuz-outnumbered
-61.19651287600002,-59.14137134599993,-62.414083883999965,-58.85392505800002,wuz-simultaneously
-60.363584534000076,-61.07084731399998,-62.87952495199983,-59.87512837400006,wuz-unison
-59.95824865999997,-59.128027709999934,-61.91863449000005,-58.452578574000015,wuz-unanimously
-66.39605582799993,-62.35770103599991,-67.179741128,-62.00979398800004,wuz-together
-60.15531473799999,-60.356660742,-61.56747162400005,-59.339494286000054,wuz-formed
