SG,PL,model_name
-25.21764285199998,-21.510613885000023,wuz-pred-adj
-20.78022007200004,-14.295391029000003,wuz-reflexive
-23.604985223999975,-24.87706529299995,wuz-simple
-29.376528304000043,-31.45379362000004,wuz-lifted
-26.413365074000023,-24.756965226000023,wuz-around
-22.633668913999973,-22.59067426300005,wuz-all-over
-24.911297166000068,-26.335074258000052,wuz-world-coll
-30.843620001999927,-30.624216068,wuz-throughout-new
-25.666326166000022,-24.046363657999994,wuz-around-new
-23.986701791999977,-20.898067282000017,wuz-all-over-new
-24.091855827999996,-23.964578317999962,wuz-throughout
-35.152921559133326,-35.86403534746666,wuz-base
-22.771646677999964,-20.792387931000004,wuz-lexical-dist
-23.74743142000003,-20.05968069500001,wuz-side-by-side
-28.439675914000023,-27.91008736000001,wuz-gathered
-23.94080285400002,-20.830325294999998,wuz-lexical-coll
-29.818417750000012,-26.522699807999942,wuz-constituted
-30.44261947800004,-27.446019812000017,wuz-exchanged
-29.957458931999962,-27.90116033399999,wuz-outnumbered
-23.14995105800003,-21.100702619000007,wuz-simultaneously
-23.461458322000013,-22.642965336000035,wuz-unison
-24.61788978999998,-21.58574457600003,wuz-unanimously
-26.616365531999982,-22.137331995000004,wuz-together
-25.447015011999987,-24.116706564,wuz-formed
