SG_SG,SG_PL,PL_SG,PL_PL,model_name
-47.77131744799997,-46.39513187599999,-47.52653812799999,-45.92594203199993,wuz-pred-adj
-49.07929230399997,-47.35287556799999,-48.61395292400002,-46.77960049600001,wuz-reflexive
-47.038201198,-45.34114800399991,-48.24142179999999,-46.20051617200004,wuz-simple
-55.97678635400007,-55.28592866200008,-57.40802209799996,-56.47159313200011,wuz-lifted
-50.44126311,-49.60249921200003,-50.66485211400005,-49.153896516000025,wuz-around
-49.97415982599995,-48.938731480000015,-50.38036977799994,-48.956352926,wuz-all-over
-50.02738697400002,-49.02487587199994,-50.7212579160001,-49.769329274000015,wuz-world-coll
-55.121598452,-53.16195298599997,-55.63127380399987,-53.68618643600003,wuz-throughout-new
-48.17447425199993,-47.70858675999998,-48.423535930000035,-47.84751555799999,wuz-around-new
-49.131584652000086,-47.64605981599995,-48.466934313999914,-46.90238155000002,wuz-all-over-new
-46.25633485799998,-44.974015651999906,-46.96446405399994,-45.546198840000024,wuz-throughout
-57.918074481999994,-57.34181283899999,-58.67643271086665,-57.843610886200004,wuz-base
-45.05165788800002,-44.00660663999994,-45.39871023199994,-44.39893920400004,wuz-lexical-dist
-47.61055664200005,-46.09456000400003,-48.28368053400008,-46.66248461999994,wuz-side-by-side
-53.27683222999997,-52.90359201800001,-53.79342701799999,-53.294357094000006,wuz-gathered
-48.01547282000005,-46.80076802400004,-47.75845056999998,-46.204960572,wuz-lexical-coll
-54.17972449799999,-53.04322949,-53.916493244000044,-52.48971328800011,wuz-constituted
-52.629158409999995,-51.93092230200001,-52.7777467140001,-51.891998558000026,wuz-exchanged
-53.11490680999999,-52.116914203999976,-52.62004877799996,-51.196208996000024,wuz-outnumbered
-49.17803351399992,-48.45445144599999,-50.02550024399995,-49.316768337999974,wuz-simultaneously
-44.34384680800002,-44.10858946199998,-45.33948491800004,-44.78217951000005,wuz-unison
-50.23617802999995,-49.05402131599997,-50.389155785999975,-48.9780469279999,wuz-unanimously
-52.983974371999935,-52.063596031999985,-51.929217077999944,-51.02785456399995,wuz-together
-48.99255516400008,-48.52111164800004,-49.35815531400006,-48.623132104000064,wuz-formed
