SG_SG,SG_PL,PL_SG,PL_PL,model_name
-48.938664914000015,-47.23833214799991,-48.79266105799992,-46.939587689999996,wuz-pred-adj
-50.927684674000126,-49.10411743400006,-50.07440522400005,-48.184309778,wuz-reflexive
-49.283832214000064,-47.628369037999995,-49.61865244600003,-47.48014128800003,wuz-simple
-56.08560519399995,-55.55068802800007,-57.109212809999974,-56.250465552000094,wuz-lifted
-52.57523598199999,-51.86658162399989,-52.885726269999964,-51.657778714000024,wuz-around
-52.22286050199998,-51.31683771200008,-52.92083189200002,-51.471098251999926,wuz-all-over
-51.23675493799998,-50.38411186999996,-52.226431568000024,-51.33929525599994,wuz-world-coll
-58.45839848200011,-56.80300497799998,-58.757957219999895,-57.069791681999945,wuz-throughout-new
-50.54751603600005,-50.34241812000006,-50.582637386000016,-50.315339529999996,wuz-around-new
-51.65911622400001,-50.083194768,-51.01904680400003,-49.332404782000005,wuz-all-over-new
-47.84826185399997,-46.763876269999926,-48.13692878199997,-46.78605088999998,wuz-throughout
-59.58438050000002,-59.16329961340001,-60.39393486266669,-59.54801189126668,wuz-base
-47.30080075400005,-46.290461571999955,-47.58417684200002,-46.53905437800008,wuz-lexical-dist
-50.74356549400002,-49.403919276000025,-51.59948423399999,-50.049578698000026,wuz-side-by-side
-52.35210796600004,-52.724502139999956,-52.62317059599998,-52.70360346000004,wuz-gathered
-48.53754039599999,-47.92137561400001,-48.41471709400004,-47.413194459999964,wuz-lexical-coll
-56.33535233399999,-54.98188856600003,-56.10618031800004,-54.56870157400002,wuz-constituted
-57.26254494799996,-56.34501618600003,-57.26094879200005,-56.048771307999914,wuz-exchanged
-57.1296443320001,-56.64846374999999,-56.333337569999955,-55.352581641999954,wuz-outnumbered
-49.7993647960001,-49.75966755799991,-50.589231000000055,-50.626915088000054,wuz-simultaneously
-49.035938152000014,-48.52342272600006,-49.68818298600007,-48.63398916999992,wuz-unison
-52.666615984,-52.13251548000004,-52.60225720399995,-51.79698276999994,wuz-unanimously
-55.50833786199998,-54.47707115199998,-55.23073048800002,-54.14108067399998,wuz-together
-48.609996974000055,-48.20344654600002,-49.07217644200007,-48.406252607999946,wuz-formed
