SG_SG,SG_PL,PL_SG,PL_PL,model_name
-42.18548018399994,-39.85095718599991,-43.42389924800006,-40.47804442599999,wuz-pred-adj
-46.27060398600006,-44.12608221799995,-47.67930247999998,-45.17457436400003,wuz-reflexive
-43.714038615999925,-41.95969648399996,-46.34434718199992,-43.98630587199991,wuz-simple
-50.41219027400007,-50.5346273459999,-53.33292191599998,-52.72261956000009,wuz-lifted
-41.92477617599999,-41.042042490000036,-43.40945148599998,-41.790515872000036,wuz-around
-44.83852172400007,-44.45403376600005,-46.38024048799998,-45.22934677800004,wuz-all-over
-45.76866976599996,-44.47373720799998,-48.13198876799997,-46.34470080199997,wuz-world-coll
-54.200323808000014,-53.20555422200004,-55.36665976799998,-53.32939441,wuz-throughout-new
-42.718040136,-42.05121555400005,-44.56089733400008,-43.400671480000064,wuz-around-new
-42.671854898000056,-41.425569592000116,-44.030741282000015,-41.9332225820001,wuz-all-over-new
-40.473131763999895,-39.71330553399996,-42.44316452799997,-41.291626478000005,wuz-throughout
-51.71253917659999,-51.44823162106666,-54.33452153380001,-53.392744811200025,wuz-base
-42.33001656000005,-41.50759682800002,-43.744589350000005,-42.54441228399988,wuz-lexical-dist
-42.357215853999925,-40.82112191999994,-44.00504344400002,-42.2850103180001,wuz-side-by-side
-48.381368034000054,-47.71061655800006,-50.49714336400007,-49.055569033999966,wuz-gathered
-42.597153594,-41.44347010599994,-44.42890015600001,-42.53744661800005,wuz-lexical-coll
-48.276996862000054,-47.040866026000096,-49.725883559999986,-47.84716765599994,wuz-constituted
-49.66615478,-48.35313300199994,-50.916363325999974,-49.02324693200001,wuz-exchanged
-46.39717665199996,-46.16955455000007,-47.795467502,-46.98364392399998,wuz-outnumbered
-45.64205466400003,-44.536482068,-48.31765445399992,-46.42889894999998,wuz-simultaneously
-44.30244237400004,-43.94155420200002,-46.892746656000035,-45.29679304400004,wuz-unison
-42.637264074,-42.68219082199995,-44.995805492,-44.327368511999964,wuz-unanimously
-52.299748390000005,-50.39130023200008,-54.445690395999996,-52.09574229399999,wuz-together
-45.24790931599999,-45.02522127199997,-47.66304518999991,-46.64111367400002,wuz-formed
