SG_SG,SG_PL,PL_SG,PL_PL,model_name
-58.096924388000055,-55.199853561999944,-58.025044413999936,-54.877338168000016,wuz-pred-adj
-58.95009702999995,-56.72742062399998,-59.14739716999999,-56.81245768199994,wuz-reflexive
-54.07179229999999,-51.366362459999976,-54.24206366600001,-51.618597542,wuz-simple
-57.5246388420001,-56.307783432,-58.27786993399999,-57.31820867799987,wuz-lifted
-53.23449216200009,-52.87196944,-53.792652349999976,-53.42170960600011,wuz-around
-52.835927976000036,-52.69298326999992,-53.16762214799993,-52.98699530600007,wuz-all-over
-52.08365533000002,-51.45010999600001,-52.29289697000001,-51.31058104400001,wuz-world-coll
-53.52290678599998,-52.01846208599995,-54.46607116799993,-52.82947607999995,wuz-throughout-new
-55.51943534200004,-54.067463798000006,-56.49380321399997,-54.93672764799994,wuz-around-new
-54.757709939999906,-53.14114543200009,-55.68209358599999,-53.942340060000056,wuz-all-over-new
-51.20632023199995,-50.27531222000007,-51.308511782000004,-50.52952328999996,wuz-throughout
-50.18688270286667,-48.36254851993333,-50.62802815719999,-48.99453784246668,wuz-base
-52.287785178,-51.067071188,-52.79686056400006,-51.44874713799998,wuz-lexical-dist
-52.50347755000002,-51.19976236400015,-53.071907906,-51.66369252999999,wuz-side-by-side
-58.02864727600002,-57.02899628999998,-57.92678140999995,-56.718115265999984,wuz-gathered
-52.427093181999886,-52.747990768,-52.51086561199999,-52.667476182000016,wuz-lexical-coll
-58.10952188600006,-56.87705502600001,-57.381611386000046,-56.364306000000106,wuz-constituted
-60.3542648699999,-59.571963440000026,-60.094229025999944,-59.18948333799998,wuz-exchanged
-58.019735871999956,-57.32463104799992,-57.47831434200002,-56.47324245599993,wuz-outnumbered
-55.765853554000046,-55.52431303399993,-56.100846799999886,-55.51702353599995,wuz-simultaneously
-54.227266171999986,-53.192241667999994,-55.137999867999916,-54.002308941999935,wuz-unison
-56.42700405600007,-55.58484038200004,-56.83642043599994,-55.74000494599994,wuz-unanimously
-63.06307559600005,-60.75466690000016,-62.895684319999866,-60.67783488600002,wuz-together
-54.33291620600002,-53.41255787200005,-54.609098995999965,-53.76915749200003,wuz-formed
