SG_SG,SG_PL,PL_SG,PL_PL,model_name
-31.385633141999957,-32.25868445199998,-31.898229082000057,-27.032713094000023,wuz-pred-adj
-33.10080360799997,-33.94292049599997,-34.927342736000064,-29.57243370199998,wuz-reflexive
-30.528952154000002,-32.061307682000056,-32.006229086000005,-28.26819519199998,wuz-simple
-39.09147941400005,-42.679782279999905,-42.06550032199994,-39.19860043599998,wuz-lifted
-32.499574152000015,-35.35205092599998,-36.08928068599998,-32.70789839199997,wuz-around
-31.763564756000054,-33.46253765799995,-34.869147556,-32.02609121000003,wuz-all-over
-35.80353010600007,-37.61989318599996,-38.85503004399997,-36.120122165999994,wuz-world-coll
-44.03017558399989,-42.37541351400009,-42.190208009999985,-40.40544678800005,wuz-throughout-new
-35.52633797199998,-36.87092503200001,-36.945553434,-33.37607784600002,wuz-around-new
-32.140505248000004,-33.180704786000014,-32.81718194199999,-28.79011352800004,wuz-all-over-new
-30.87093291,-33.17888027400004,-33.335912668000034,-30.811016167999984,wuz-throughout
-41.15745433020002,-44.04560910833334,-43.99176279026668,-40.482884415733345,wuz-base
-30.801978016,-32.57546708399991,-32.656490672000004,-29.788398574000034,wuz-lexical-dist
-30.031505479999968,-31.857293238000025,-33.22230303600003,-28.758491568000014,wuz-side-by-side
-35.97047151800005,-39.26688276000002,-38.12229194000001,-35.644821913999984,wuz-gathered
-30.3067161,-32.01936723799999,-33.490398549999966,-29.82335239400001,wuz-lexical-coll
-37.88865554600005,-40.27713218400007,-40.53712699399995,-36.339558258000004,wuz-constituted
-37.94742287999997,-39.59059771400001,-40.029292631999944,-36.81051036599999,wuz-exchanged
-37.68498266799993,-40.06981464199999,-40.421136557999965,-37.448104714000046,wuz-outnumbered
-33.06696503399999,-35.24489763199999,-36.560057652000026,-32.34623877799994,wuz-simultaneously
-30.23750391,-32.8231461,-32.43429099400003,-30.98909675600004,wuz-unison
-33.41033605799997,-35.51092080999993,-35.94519081199997,-32.92633594800003,wuz-unanimously
-37.56022667000001,-38.24692161799996,-39.270134070000005,-34.219610398,wuz-together
-31.524365306000007,-34.42245768399991,-36.639012269999924,-32.61005864199992,wuz-formed
