SG,PL,model_name
-17.46588636699511,-13.69750369458129,wuz-pred-adj
-19.056991064039426,-16.297798487684744,wuz-reflexive
-15.593848422413783,-13.03761818817733,wuz-simple
-25.287529913793104,-24.539065357142825,wuz-lifted
-18.34656555788178,-18.50799995197045,wuz-around
-17.113331034482766,-17.17953401108372,wuz-all-over
-20.542323917487685,-20.49211502709357,wuz-world-coll
-20.93417872906405,-18.956108785714274,wuz-throughout-new
-21.10551533497536,-19.04458177709361,wuz-around-new
-18.26950990024632,-15.510954603448267,wuz-all-over-new
-16.679162557881767,-15.971237045566513,wuz-throughout
-27.163554510919543,-26.10641556707718,wuz-base
-16.379844256157625,-15.200579104679797,wuz-lexical-dist
-16.902048325123143,-15.937616396551704,wuz-side-by-side
-21.78493284482762,-20.96440030911332,wuz-gathered
-16.053536777093598,-15.714809029556674,wuz-lexical-coll
-23.41967860098524,-21.906142871921165,wuz-constituted
-23.84882857635467,-22.649416051724177,wuz-exchanged
-23.777194504926143,-23.134210886699517,wuz-outnumbered
-18.014270278325128,-17.40607993103446,wuz-simultaneously
-16.33968718596059,-16.070441876847294,wuz-unison
-17.530583637931038,-17.098048314039413,wuz-unanimously
-21.845273440886697,-19.25379047044336,wuz-together
-17.685218575123155,-18.663506588669975,wuz-formed
