SG_SG,SG_PL,PL_SG,PL_PL,model_name
-48.07789302599999,-46.653720569999955,-49.82944419399998,-47.71037605600004,wuz-pred-adj
-48.544433103999935,-47.48790277599996,-50.423440080000105,-49.008827083999954,wuz-reflexive
-49.485022211999954,-47.477068470000034,-51.8396188419999,-48.96527840600002,wuz-simple
-54.71839869599995,-53.34304140400002,-57.31472854599992,-55.51204326200003,wuz-lifted
-51.73493998999999,-50.627615464,-53.90914784000002,-52.32217428400004,wuz-around
-52.585570123999986,-51.53446126799991,-54.230509166000076,-52.59107354600002,wuz-all-over
-51.86462284000006,-50.03608835,-53.56204778599998,-51.395809404000026,wuz-world-coll
-59.74994267600002,-58.32747391600008,-60.88855636400006,-58.829350215999995,wuz-throughout-new
-50.52119476000013,-49.568060723999935,-52.863237598000026,-51.56943446800001,wuz-around-new
-48.65852121799994,-47.85555430600009,-50.66284868399997,-49.28477388199995,wuz-all-over-new
-47.681110811999964,-46.56082531400001,-49.30559414000001,-47.82619778799995,wuz-throughout
-58.583869734133344,-57.44406101366666,-60.76452411506668,-59.25784476566668,wuz-base
-47.32350560600016,-46.208842933999975,-49.08381889800008,-47.644732300000015,wuz-lexical-dist
-49.66931067199998,-48.49444218800001,-51.46436405799998,-50.037456860000084,wuz-side-by-side
-54.09194734799999,-52.69191490399996,-56.470574626000065,-54.64760659999996,wuz-gathered
-46.11886053800003,-45.066836386000006,-48.21458785199993,-46.79072566400002,wuz-lexical-coll
-53.60809545000002,-52.35790841599992,-55.45482389799992,-53.79734244999997,wuz-constituted
-55.46409453999998,-54.603447440000004,-57.06887277600005,-55.77454494799988,wuz-exchanged
-54.63742281399999,-54.07533676799997,-56.66805438600003,-55.55109509600004,wuz-outnumbered
-51.81245806800001,-50.65703861600005,-54.310567785999986,-52.81840413799999,wuz-simultaneously
-51.12298091400003,-49.97722580799997,-53.694388098000026,-51.35494350200002,wuz-unison
-49.89535995799998,-48.86545952400004,-52.16020557799989,-50.85765580000008,wuz-unanimously
-54.08169238399998,-53.18182351399995,-56.40068434999995,-55.100776161999924,wuz-together
-49.05974509799996,-47.96207308400001,-51.40180479,-49.687713016,wuz-formed
