SG_SG,SG_PL,PL_SG,PL_PL,model_name
-55.62772078399996,-56.95642094600009,-58.189968411999914,-57.37769707599998,wug-birth
-55.47207529799991,-58.055572096000034,-57.578824198000035,-58.022468876,wug-world-ndist-ncoll
-59.94061589000002,-60.72311837600002,-61.26120117399994,-61.73681952399997,wug-first-new
-61.41730430600006,-64.15139752799996,-65.51966528199995,-65.26664741800002,wug-first
-60.043442850000076,-63.107858950000086,-62.26510802399997,-61.71627169399996,wug-caught-new
-55.534247532,-57.378388034000096,-57.000044278000026,-57.98962601000004,wug-wore-the-new
-55.198363315999984,-58.06816635600006,-58.49674500399991,-59.85500950400004,wug-wore-the
-62.31821690199991,-63.1092777540001,-62.80708615400003,-63.36940372599995,wug-caught
-54.970603903999994,-56.40054032400014,-57.11430169600002,-56.05499337200003,wug-birth-new
-58.92994967999989,-60.75165358000008,-61.23119209199995,-60.49349794000004,wug-top-score
-52.89774161999994,-54.189856173999935,-54.80869795799999,-53.807940037999984,wug-world-ndist-ncoll-new
-65.03738258106667,-66.50001849326668,-66.71914521753334,-65.37477898993335,wug-base
-55.373404738000055,-57.676475010000026,-56.91878833599996,-56.675581536000045,wug-pred-adj
-48.09405017000001,-54.33605267,-50.264352687999946,-53.43570638400002,wug-reflexive
-53.04911303600007,-55.01848282199997,-56.68720408200005,-56.36720069200007,wug-simple
-55.86893516400007,-58.24051407599994,-57.990481364000054,-58.28485182000005,wug-sole
-55.09365969800003,-52.4957908279999,-55.222528583999946,-51.755498502,wug-sep-entire-new
-62.045150977999945,-65.12652810999998,-64.54759865199998,-65.48712610599998,wug-personally
-51.646183403999984,-54.109962986000035,-53.07650400999996,-53.59222405200002,wug-unaccmp
-52.95687217599994,-54.81502724799998,-53.55897667800002,-54.62989429400002,wug-lexical-ndist-ncoll
-55.32697447400005,-58.73617218799996,-56.34660958799997,-57.643224599999975,wug-personally-new
-47.06486967199995,-49.31711250999998,-49.00318323199997,-47.62313636000003,wug-all-alone
-51.426614201999975,-53.66833853800008,-52.707795722000014,-54.107082088000055,wug-lexical-ndist-ncoll-new
-52.66115743199997,-54.59968836800001,-55.32722830799989,-54.97658043799999,wug-lone
-53.451674537999985,-55.40807431399999,-55.84820652800001,-55.15616323600007,wug-only
-53.34463540600006,-55.730000640000036,-56.43620108999992,-56.60618643400003,wug-sole-new
-49.6055816119999,-53.2991614360001,-51.10073521400001,-53.47695734199992,wug-unaccmp-new
-52.19144837200005,-52.55785377,-54.67767752000005,-52.545669919999945,wug-sep-entire
-51.89507812399993,-54.725693431999964,-53.40051493400004,-54.35686173399995,wug-all-alone-new
