SG_SG,SG_PL,PL_SG,PL_PL,model_name
-57.45994244600005,-58.87922156000012,-59.401863114000086,-58.453891916000025,wug-birth
-55.175811515999946,-57.62801444600009,-56.44528627599993,-57.61801934600008,wug-world-ndist-ncoll
-60.53746036399997,-61.76102773200009,-62.068962952000106,-62.45438273400003,wug-first-new
-62.39080837400002,-64.44603552000011,-63.25063269599992,-63.70133764800005,wug-first
-63.01195482599998,-65.75046246999997,-64.67516555600001,-65.07466196599998,wug-caught-new
-56.64093020399995,-58.40638826800012,-57.85859552200007,-58.31832807399984,wug-wore-the-new
-56.94084973000008,-59.7144541960001,-57.590851854000064,-59.21723384399993,wug-wore-the
-64.68191637000008,-65.50191542999985,-65.02543504399998,-65.61539476200002,wug-caught
-54.46796319199993,-56.11383190400009,-56.271419308000006,-55.99579429800005,wug-birth-new
-62.11231057200005,-63.676477465999945,-63.35093123800007,-63.14906230999999,wug-top-score
-53.552587056000014,-54.95231485400001,-55.08605011399997,-54.27101014200004,wug-world-ndist-ncoll-new
-65.24439769546666,-66.57343570273333,-66.46006022366664,-65.27165752493336,wug-base
-57.18812321000003,-59.63325173600003,-57.988933112,-58.11028870599998,wug-pred-adj
-51.404632357999986,-57.31605259800007,-51.52726158200003,-55.02564252399996,wug-reflexive
-55.568124506000025,-57.67016981399994,-56.10979506199998,-56.16512322000001,wug-simple
-56.385479179999976,-58.47136210600014,-58.36340309200007,-58.61991912399997,wug-sole
-56.690067889999966,-54.171547619999984,-56.72643239999998,-53.32120817599994,wug-sep-entire-new
-63.261048810000005,-66.45489304400003,-63.51625098600005,-65.34887118599994,wug-personally
-54.57150706399997,-57.00651215399982,-55.923857611999956,-56.415775332000045,wug-unaccmp
-51.79771011999998,-53.646254029999966,-52.58023795400007,-53.644852472,wug-lexical-ndist-ncoll
-57.96363264200008,-61.143227757999966,-58.71435279399998,-59.86757389400002,wug-personally-new
-49.999742554,-52.44633335400012,-51.79571376199998,-50.43966731200003,wug-all-alone
-54.52788155999988,-56.814377994000004,-55.75137684,-57.08749909,wug-lexical-ndist-ncoll-new
-54.80449376600004,-56.64306612799996,-56.082560517999944,-56.247115311999906,wug-lone
-55.11149902599997,-57.00287599600004,-56.54887376400002,-56.40934455999987,wug-only
-53.99112268000005,-56.42103186400003,-55.30324896199995,-56.06169796999997,wug-sole-new
-51.87729479400006,-55.28854181599998,-52.82607869200003,-54.83548647400004,wug-unaccmp-new
-53.31845382200003,-53.77203264000003,-55.600065748000006,-53.494351954000074,wug-sep-entire
-53.43234605999994,-56.34143457400002,-54.44796767800004,-55.879867350000005,wug-all-alone-new
