SG_SG,SG_PL,PL_SG,PL_PL,model_name
-62.91981486799997,-64.01889429399998,-64.24837982199999,-63.35588949799998,wug-birth
-64.52117531800009,-67.07039776999993,-65.97353094200005,-66.69912899400009,wug-world-ndist-ncoll
-59.39609628400006,-60.76514504199996,-62.79073914600002,-60.37018264800002,wug-first-new
-61.74437754599989,-65.26867084799999,-63.08357425600008,-64.42816639400012,wug-first
-59.55011182799996,-62.57663994999997,-61.484495929999994,-62.11707994799993,wug-caught-new
-59.09588564799995,-61.346269804000045,-60.17952398399987,-61.95184265200001,wug-wore-the-new
-58.574897717999974,-61.12872893000009,-60.059740386000016,-61.257277302000006,wug-wore-the
-62.406238726000076,-64.06837872800001,-64.46053451,-62.02960345999991,wug-caught
-61.25224395199989,-62.54031689400012,-63.28774386999992,-62.35827594799998,wug-birth-new
-60.218147931999965,-61.92709979799989,-62.19832384599999,-61.503138424000106,wug-top-score
-54.52549609999997,-57.02939420599995,-56.7564611279999,-56.43156328800003,wug-world-ndist-ncoll-new
-56.92074151013335,-58.26841097466663,-58.56417379146669,-57.31756157859999,wug-base
-62.28725974000007,-64.64288885399998,-62.379290296,-64.21538019800009,wug-pred-adj
-54.625863989999864,-61.81166556000004,-54.942271013999964,-60.70648895199995,wug-reflexive
-56.742801220000096,-59.69261209799999,-57.331127800000054,-58.74636846800002,wug-simple
-60.881797477999974,-63.180677001999975,-62.556699366,-62.11689126400005,wug-sole
-62.02139326600008,-59.91220934199981,-64.233754758,-60.32699180200003,wug-sep-entire-new
-67.23516218599993,-70.47862574399993,-68.29032067600004,-69.47249749999997,wug-personally
-60.70221121600008,-62.519967289999975,-62.51752737599998,-61.582861000000065,wug-unaccmp
-58.727877983999996,-61.10739808799999,-60.837508261999965,-60.595820375999985,wug-lexical-ndist-ncoll
-61.860428663999876,-65.51687756000003,-63.41278861200002,-64.81192129200001,wug-personally-new
-65.76056725400007,-67.39585794799991,-68.75565001200012,-66.12085509399996,wug-all-alone
-61.894275427999965,-64.49957095800018,-64.23267770799988,-64.569808782,wug-lexical-ndist-ncoll-new
-53.94599172799991,-56.22918419200001,-55.805182225999864,-56.518480778000075,wug-lone
-56.78796751400007,-59.19988872599995,-58.40373420399999,-59.141355019999935,wug-only
-55.64096634399998,-58.532006094000046,-57.16320874199996,-58.56799808800007,wug-sole-new
-54.11390397799999,-57.44440582800001,-55.64783694,-57.365919367999915,wug-unaccmp-new
-62.986560703999956,-63.97221079599996,-63.6400872999999,-63.432337699999984,wug-sep-entire
-58.70787748,-61.89464664599993,-60.223920123999996,-62.08996863400005,wug-all-alone-new
