SG,PL,model_name
-26.052956989999938,-26.909605785999986,wug-birth
-21.693434735000015,-24.473724193999946,wug-world-ndist-ncoll
-30.18740253200001,-30.292351622,wug-first-new
-28.601389389999987,-32.363381109999985,wug-first
-29.622481733999976,-32.912286424000015,wug-caught-new
-23.057898184,-24.77064699400004,wug-wore-the-new
-26.376173153999996,-29.38429961800006,wug-wore-the
-29.929335950000034,-30.432774436000013,wug-caught
-24.348729236000008,-25.194930868000007,wug-birth-new
-30.13064429399999,-32.179256242,wug-top-score
-21.571763739999966,-23.793542171999984,wug-world-ndist-ncoll-new
-35.187592168399995,-35.891239459933324,wug-base
-22.631870736000014,-25.245230335999974,wug-pred-adj
-14.130839193199987,-21.801765727,wug-reflexive
-21.843757523999994,-24.471001671999957,wug-simple
-25.95249346400002,-27.89853643399998,wug-sole
-24.677873463999983,-21.40056527199995,wug-sep-entire-new
-32.940406846,-36.89844938400004,wug-personally
-23.026879459999964,-25.22485092599999,wug-unaccmp
-28.75708279,-29.89580968200001,wug-lexical-ndist-ncoll
-28.147038351999964,-31.493209830000012,wug-personally-new
-20.44701224800001,-21.797720165999976,wug-all-alone
-23.87301812100001,-25.74223538300002,wug-lexical-ndist-ncoll-new
-21.912664380000017,-24.047304052000033,wug-lone
-22.62969137799999,-24.576640236000017,wug-only
-20.69957635100003,-23.497436322000024,wug-sole-new
-20.888352497000007,-25.19664289199999,wug-unaccmp-new
-22.96374421199998,-22.97886202100001,wug-sep-entire
-20.794944972999993,-23.96064113999999,wug-all-alone-new
