SG_SG,SG_PL,PL_SG,PL_PL,model_name
-49.13305746200001,-48.827476403999974,-51.88845937799999,-51.060743164000016,wug-birth
-49.050858299999994,-48.23818608999995,-51.245035040000154,-50.20939341599994,wug-world-ndist-ncoll
-53.25917136,-50.629952439999954,-54.11906671600007,-51.50754150400002,wug-first-new
-53.94767280799999,-53.50556838000008,-57.658078762000066,-56.80348369800008,wug-first
-54.403874227999935,-53.558148555999985,-55.864310698000004,-54.96677990799993,wug-caught-new
-48.35611826399996,-47.77147171600002,-49.67239416000001,-49.16150185000004,wug-wore-the-new
-50.136103895999945,-49.530198270000035,-53.6796166880001,-52.67255404599999,wug-wore-the
-54.4578167,-53.199450736,-54.78945619999991,-53.53775139200005,wug-caught
-48.32461584599994,-47.667825084000036,-50.1313444160001,-49.03471089399998,wug-birth-new
-53.08305521800001,-52.61731965400008,-55.52329948,-54.495266050000005,wug-top-score
-45.429520596,-44.79573841199999,-46.42089396599996,-45.787810099999916,wug-world-ndist-ncoll-new
-57.96085964866666,-57.390944575133325,-58.71881258739999,-57.89752857813333,wug-base
-47.729438425999994,-47.82732985400004,-48.98043864399995,-48.58909297400001,wug-pred-adj
-46.99650877200003,-46.5818950200001,-49.360020395999925,-48.8678852199999,wug-reflexive
-44.359796549999984,-44.611164671999965,-47.79342299599992,-47.68203293000001,wug-simple
-51.874428973999976,-51.04101005600002,-53.70231805999993,-52.50314092200001,wug-sole
-49.847304465999954,-48.26572443600004,-49.50311922200001,-47.78359467799996,wug-sep-entire-new
-57.220230802,-56.542461129999964,-60.082817055999996,-59.011242165999995,wug-personally
-49.281950126000005,-48.77283455400006,-50.55827677800006,-49.56897284599997,wug-unaccmp
-47.33225246000007,-46.45556365000006,-47.788514531999986,-46.81665121799998,wug-lexical-ndist-ncoll
-52.20791936399996,-51.71432877999996,-53.26424558200001,-52.43986400799999,wug-personally-new
-42.69192444600006,-42.11239227400004,-43.33141269799998,-42.53190114799996,wug-all-alone
-44.93159193999997,-43.56064619800003,-45.768298976000004,-44.765163867999966,wug-lexical-ndist-ncoll-new
-46.14181901000009,-45.57164282400004,-48.207236396000106,-47.43393019200004,wug-lone
-46.304837419999906,-45.64044672600009,-48.03527247799998,-47.23134362600004,wug-only
-47.19969396599997,-46.85631285000003,-49.97415329599998,-49.45652462600004,wug-sole-new
-47.14592125999999,-46.60367433999996,-48.924718668000025,-48.08375042600004,wug-unaccmp-new
-46.79058973600001,-46.296670444,-48.07734080600006,-47.448489577999894,wug-sep-entire
-46.82466802000004,-46.39174120999994,-48.54729597399991,-47.692559878000075,wug-all-alone-new
