SG_SG,SG_PL,PL_SG,PL_PL,model_name
-52.41510663199989,-52.61799136999996,-53.91433241799998,-53.767979867999976,wug-birth
-50.78108844200002,-50.79093966000004,-52.37738812000013,-52.150760125999966,wug-world-ndist-ncoll
-54.52835313200008,-52.65204674600002,-55.78196557600002,-53.89476928200001,wug-first-new
-55.44034246600005,-54.90306804000002,-56.834406450000024,-55.96463872200003,wug-first
-57.86316414799997,-57.50783238400004,-59.60015803800001,-58.87675805799998,wug-caught-new
-50.15924348200003,-49.57345985399999,-51.41581138200009,-50.83961160599994,wug-wore-the-new
-53.06646876000006,-52.960516979999966,-54.226238188000046,-53.64824441799999,wug-wore-the
-57.38998370199993,-56.30701788399991,-57.743771648000056,-56.64563617799995,wug-caught
-49.24604224200002,-49.012342364000034,-50.96982703400002,-50.36739630599993,wug-birth-new
-57.84654428600007,-57.73787621600001,-59.06436926599997,-58.51732215999994,wug-top-score
-46.02717585000002,-45.85666190800005,-47.32079222399997,-47.02899840000008,wug-world-ndist-ncoll-new
-59.54241860986668,-59.09686272,-60.34138296913336,-59.482963733066676,wug-base
-51.297720586000025,-51.50222514199996,-52.281039300000025,-51.96103706000002,wug-pred-adj
-51.875367126000064,-50.802335405999955,-52.29111272000001,-51.26036025199992,wug-reflexive
-47.946313424,-48.03410525800005,-48.31665312200003,-48.19443787000004,wug-simple
-52.70735057800003,-52.769669998000005,-54.494567684000025,-54.21662037600005,wug-sole
-52.05146107000005,-50.457355789999994,-51.69850724599993,-49.992265364,wug-sep-entire-new
-60.11599033799998,-59.364652254000006,-60.568125936000015,-59.56301441999998,wug-personally
-52.32460165600001,-52.12644843399999,-53.47803731000003,-52.97175957799998,wug-unaccmp
-46.31456936399996,-45.34933080200008,-47.020944188000016,-45.99251900399998,wug-lexical-ndist-ncoll
-54.84923142399986,-54.70968138800002,-55.51803256599996,-55.11432040199998,wug-personally-new
-46.46605355799999,-45.929075816000044,-47.236664541999914,-46.38230790600001,wug-all-alone
-48.506154959999975,-47.24871585600005,-49.46097832399999,-48.52595756,wug-lexical-ndist-ncoll-new
-49.242801367999974,-48.37844904799995,-50.558181082000004,-49.44800997599997,wug-lone
-49.018034542000024,-48.14827958800002,-50.34069107799994,-49.305099473999974,wug-only
-48.74053848600005,-48.22505459599986,-50.16098416000004,-49.472393588,wug-sole-new
-49.60233717999995,-49.402695736000034,-50.900449517999974,-50.447797672000014,wug-unaccmp-new
-49.048410509999904,-48.71776964400006,-50.498068312000036,-49.833931609999965,wug-sep-entire
-48.76249568999997,-48.61067965999996,-50.07232913199997,-49.55119446600006,wug-all-alone-new
