SG_SG,SG_PL,PL_SG,PL_PL,model_name
-43.96838072800003,-44.39672386999996,-46.93669503000003,-46.74937985400003,wug-birth
-40.70116727800003,-40.97853922600002,-44.02234714799994,-43.87022590800003,wug-world-ndist-ncoll
-52.89245384800003,-51.711492938,-55.096690787999954,-53.02299521200008,wug-first-new
-46.90381041800005,-46.48244970599994,-49.209995564,-48.29363895400009,wug-first
-51.27243867399996,-51.80801088399993,-54.55056336600003,-54.47180780599997,wug-caught-new
-43.041785223999966,-42.27158387399996,-44.926971048000006,-43.85079580599999,wug-wore-the-new
-45.64973581999992,-45.344402508000016,-48.72104849200017,-47.84395915399999,wug-wore-the
-58.09493720400002,-56.96431302399992,-58.87037238999999,-57.306030622000065,wug-caught
-42.07938096,-42.06350158600003,-45.03031521200003,-44.483978767999986,wug-birth-new
-49.093454884000074,-49.59356756599991,-51.96339061400006,-51.83894621599994,wug-top-score
-43.16399190000004,-42.24072195600004,-45.87806520999998,-44.45517429199991,wug-world-ndist-ncoll-new
-51.802252999266656,-51.51980423486667,-54.41539704219999,-53.45785589653335,wug-base
-41.24308112399993,-42.43498199799998,-43.725666749999945,-44.00844044400002,wug-pred-adj
-46.40282872600006,-45.95124929800004,-49.26515429199999,-48.38686684199988,wug-reflexive
-40.58117869399993,-41.181929698000005,-42.92289913200003,-42.90766774999994,wug-simple
-42.61398005200005,-43.42546191000014,-45.92866780200004,-46.134805332000056,wug-sole
-41.922360803999965,-39.76054796799999,-43.43004143399994,-41.00600836599995,wug-sep-entire-new
-52.89937177599994,-52.36290843599994,-55.519125216,-54.73553283000004,wug-personally
-42.770905388,-43.17707273399995,-46.345669998000005,-46.661781045999895,wug-unaccmp
-45.85435650799997,-45.139143607999976,-47.725258604,-46.199378222000064,wug-lexical-ndist-ncoll
-48.03712396000006,-48.664942313999944,-50.60126431000007,-50.87754098400003,wug-personally-new
-43.30362759400008,-42.40496169999995,-45.61787961199998,-44.02167463600004,wug-all-alone
-44.68061291999997,-43.40930634600008,-46.754107785999935,-45.32450021199996,wug-lexical-ndist-ncoll-new
-39.850666350000054,-39.30470638599992,-42.645872709999985,-41.53473063999993,wug-lone
-39.34312646799993,-39.10227747200002,-41.96278687400001,-41.07293567400006,wug-only
-40.28204762599993,-40.008108247999985,-42.96283327199998,-42.21215599400002,wug-sole-new
-42.61355835400007,-43.50519583000011,-46.17337718599991,-46.508251701999995,wug-unaccmp-new
-43.626486981999996,-43.15582399600004,-46.12018010599994,-44.622473767999985,wug-sep-entire
-41.17318715600005,-41.89190965599994,-44.42010683800004,-44.68846805800003,wug-all-alone-new
