SG_SG,SG_PL,PL_SG,PL_PL,model_name
-56.54612407800001,-55.64149581599999,-57.510028678000104,-56.872636209999975,wug-birth
-61.74354897399992,-61.04622025200007,-62.44298006599999,-62.303052899999955,wug-world-ndist-ncoll
-54.54500375800003,-52.85633773400001,-56.072706465999886,-54.66835238600005,wug-first-new
-58.92320644399998,-58.84469581399999,-60.26865346999996,-59.89518631200006,wug-first
-55.51630874399999,-54.43433762200001,-56.74927220399992,-55.72890152400023,wug-caught-new
-52.77370478399997,-52.60421937199998,-53.9853084960001,-53.85974673600003,wug-wore-the-new
-53.940426403999965,-53.38090702599999,-55.22724907599999,-54.77839095800007,wug-wore-the
-55.697664516000025,-54.325180698000054,-56.446127024000006,-55.2663886900001,wug-caught
-56.82433209400001,-56.76564437600005,-58.17656502599997,-58.066864835999965,wug-birth-new
-55.467891321999986,-54.66425193199994,-56.37077847799998,-55.702373058000056,wug-top-score
-51.62260466199992,-50.518403762000005,-52.948653352000115,-51.61074990999998,wug-world-ndist-ncoll-new
-50.190149505066664,-48.35508281993332,-50.63841113339999,-48.9970460484,wug-base
-54.40609612000002,-56.27342927999994,-54.62259804600003,-56.63924023400004,wug-pred-adj
-59.14636673800003,-58.85744542000007,-59.722481780000024,-59.460846339999925,wug-reflexive
-50.84975958600002,-51.90915610999997,-51.30320692400011,-52.24754266799995,wug-simple
-56.793493276,-56.58330933999988,-57.499036468000014,-57.431397848000046,wug-sole
-58.33268585999991,-56.122231816,-59.56821658800007,-57.325805774,wug-sep-entire-new
-63.723222826000026,-62.81527958199992,-64.08258568199994,-63.45548068799999,wug-personally
-57.29366815799987,-56.24601490000003,-58.66107562599993,-57.797415875999995,wug-unaccmp
-54.44306440800006,-52.558748215999984,-55.54801560599997,-53.83755723399999,wug-lexical-ndist-ncoll
-59.28543313200003,-59.210878942,-60.10340821799997,-60.24241828000005,wug-personally-new
-59.586944785999954,-58.09070694400002,-60.54000338199987,-59.153727696000004,wug-all-alone
-56.29789152399999,-54.73683898399996,-58.329710270000014,-56.60154383399996,wug-lexical-ndist-ncoll-new
-49.52300317599992,-49.365867706000046,-50.911827662000015,-50.66190857399994,wug-lone
-52.01501041200006,-51.39252006999994,-53.21502569799999,-52.64138577799998,wug-only
-52.096870142000036,-52.10939038999999,-53.390227985999864,-53.26530913400005,wug-sole-new
-52.65230068399997,-52.616889742000005,-53.99530190999998,-53.89781915399998,wug-unaccmp-new
-55.787678297999975,-55.283631370000045,-56.6912916800001,-55.68473191000003,wug-sep-entire
-55.11138228599995,-55.755155374000054,-56.57394047000001,-57.171121918000004,wug-all-alone-new
