SG_SG,SG_PL,PL_SG,PL_PL,model_name
-32.627356006000014,-37.35856867999993,-38.095817215999965,-35.14299908599996,wug-birth
-33.001019473999975,-36.725896518000006,-36.766192524000004,-34.27318304399998,wug-world-ndist-ncoll
-43.54848184199999,-41.22013280400002,-41.256949776000006,-38.81848349199997,wug-first-new
-38.13488692799998,-42.240319064000026,-43.22445044800005,-40.890066858000004,wug-first
-39.32093133000005,-42.744648473999995,-42.14771995800001,-40.523869727999944,wug-caught-new
-33.061162159999995,-33.97860745199997,-36.007272630000024,-34.462601746000026,wug-wore-the-new
-35.97396929999997,-39.453455386,-39.742376531999966,-37.196775756000015,wug-wore-the
-44.53479923400004,-43.378094162000004,-43.242135008000005,-42.01485625400004,wug-caught
-30.68333343000005,-34.85691033599999,-34.492865843999944,-32.36482893800001,wug-birth-new
-38.76796798399999,-42.23849094200005,-42.62502319599997,-40.28432565000001,wug-top-score
-32.92013813999993,-35.921200448000015,-35.678238352000015,-32.44003691999992,wug-world-ndist-ncoll-new
-41.16942418420002,-44.053626395399995,-44.01244674953334,-40.50740615953337,wug-base
-29.194030015999985,-33.41118280999996,-34.238320383999955,-32.79094984599996,wug-pred-adj
-32.71361931199997,-37.26088226199998,-37.73247051799993,-34.535944638000004,wug-reflexive
-27.700111724000013,-31.823392981999937,-32.00813380400004,-30.55390177400003,wug-simple
-32.94817687200004,-36.66752314799997,-37.10027118000006,-34.85775399400001,wug-sole
-32.64996606400006,-34.06918692999994,-33.65328654999997,-29.493048297999987,wug-sep-entire-new
-43.51302024600001,-46.774744361999986,-46.556072363999945,-44.06500633000004,wug-personally
-33.43311871200004,-38.09572449999999,-38.63648733399999,-35.72313696600003,wug-unaccmp
-39.28482650000001,-38.18812835599993,-37.908216180000075,-36.56502618,wug-lexical-ndist-ncoll
-37.46767087800005,-41.11538294599994,-40.67669180400005,-38.672148527999994,wug-personally-new
-31.08624133599995,-33.49631183199995,-33.83368121999999,-30.726696327999992,wug-all-alone
-33.847728591999974,-34.16287581600009,-34.01976780599997,-32.30022668,wug-lexical-ndist-ncoll-new
-30.63318635599998,-33.49178230600002,-33.897087744000025,-31.323816818000036,wug-lone
-30.884652320000004,-33.437853537999985,-33.55062694399993,-31.165620058000005,wug-only
-30.315799516000002,-33.757182730000046,-34.19150299199999,-31.816966042000015,wug-sole-new
-32.78718385800003,-36.77455606599991,-36.691279623999996,-34.78615839999998,wug-unaccmp-new
-34.35545253800003,-35.69538660599999,-35.44734192599999,-34.082642954000015,wug-sep-entire
-29.484732629999968,-34.06047210600003,-34.836729935999955,-32.33630434599996,wug-all-alone-new
