SG,PL,model_name
-18.205367633004904,-19.953438965517243,wug-birth
-18.235377668719217,-18.334560681034507,wug-world-ndist-ncoll
-21.866873916256164,-19.681838262315296,wug-first-new
-23.36436751970445,-24.718279389162557,wug-first
-24.548206839901503,-24.528069241379306,wug-caught-new
-17.8525827192118,-18.842963435960602,wug-wore-the-new
-21.271756290640372,-21.79125171428574,wug-wore-the
-21.1666965012315,-19.776596621921172,wug-caught
-16.897501224137912,-17.694666873152695,wug-birth-new
-24.80616761330048,-25.359775241379296,wug-top-score
-18.55215292241381,-17.775673945812823,wug-world-ndist-ncoll-new
-27.17171682348112,-26.127694327668305,wug-base
-15.155282178571424,-17.998321019704452,wug-pred-adj
-18.16234255911332,-18.487007972906387,wug-reflexive
-13.800854679310339,-15.971500581280795,wug-simple
-19.351340658867,-20.421527951970436,wug-sole
-18.85046903694584,-16.147282740147798,wug-sep-entire-new
-28.954736847290643,-28.807708532019692,wug-personally
-19.55304363177343,-20.443392126847293,wug-unaccmp
-22.25000084605913,-20.475369481527103,wug-lexical-ndist-ncoll
-23.486171534482786,-23.589586522167476,wug-personally-new
-17.420708434729058,-16.441482162561574,wug-all-alone
-18.471133839901494,-16.79968373645322,wug-lexical-ndist-ncoll-new
-15.925044949507397,-16.230814988916283,wug-lone
-15.939381887931033,-15.562241715517262,wug-only
-15.591873589901477,-16.3841736366995,wug-sole-new
-17.601791435960557,-18.900730442118228,wug-unaccmp-new
-18.779175014778346,-17.894238314039384,wug-sep-entire
-15.66070605295568,-17.74284617118228,wug-all-alone-new
