SG_SG,SG_PL,PL_SG,PL_PL,model_name
-52.83689803399998,-52.167702620000014,-55.00195908199994,-54.182906330000016,wug-birth
-49.19997260200003,-48.018521,-51.76854832599993,-50.643107527999966,wug-world-ndist-ncoll
-54.88384677599993,-53.484122989999996,-56.6293114459999,-54.601336902000064,wug-first-new
-55.98106620400002,-54.820236903999984,-57.92184785599993,-56.44091633000006,wug-first
-57.77377979399997,-56.577254498000045,-60.07147339000003,-58.909112904000125,wug-caught-new
-49.511935264000044,-48.33278136400003,-51.421567317999994,-50.18526408600003,wug-wore-the-new
-51.384014528,-50.37454783600008,-53.31561556800007,-52.10544532200001,wug-wore-the
-60.27628311599993,-59.10735857200003,-60.96527802599996,-59.32983137599999,wug-caught
-48.377293449999996,-47.521972990000066,-50.613483870000024,-49.576925366000005,wug-birth-new
-56.06369211000003,-55.13265532600006,-58.11011907399999,-56.952564730000006,wug-top-score
-48.90924337000005,-47.52582843800001,-51.30485112999999,-49.63408150800004,wug-world-ndist-ncoll-new
-58.56562321366667,-57.411135567799995,-60.74558659166667,-59.22562411920001,wug-base
-50.68180758799996,-50.29813580800002,-53.16327688600006,-52.03034181799997,wug-pred-adj
-51.71670179999992,-50.06558801199992,-53.62033106200001,-51.869997389999966,wug-reflexive
-49.01909711400001,-48.45150469600002,-51.09331527600003,-50.01049133199999,wug-simple
-52.98389754799998,-51.99659999800004,-55.47487189199996,-54.41627875000002,wug-sole
-48.624477410000004,-47.22103943199986,-50.33954242999994,-48.62602388599992,wug-sep-entire-new
-58.513787220000026,-57.63998859000004,-60.79992313799999,-59.52030373799993,wug-personally
-51.722694936000096,-50.867684245999996,-53.859236945999925,-52.79971684400001,wug-unaccmp
-44.55067095400001,-44.107052983999935,-46.871837020000065,-45.116876212,wug-lexical-ndist-ncoll
-53.29128017399981,-52.46855206200006,-55.13582361200001,-54.17499091599998,wug-personally-new
-48.40058208400001,-47.27607761999998,-50.72945757200006,-48.74969667600008,wug-all-alone
-49.316838506,-48.06880823600002,-51.151083410000005,-49.66875847800004,wug-lexical-ndist-ncoll-new
-48.85723663,-47.420909290000026,-51.346180629999935,-49.397636961999964,wug-lone
-50.56671011999997,-49.32772449999994,-52.77662991000007,-51.051110564000034,wug-only
-49.92992922200007,-48.71133574600006,-52.25110501400001,-50.661163490000014,wug-sole-new
-48.675871860000036,-47.98990464400005,-50.83352302199998,-49.98931483400001,wug-unaccmp-new
-48.023919957999986,-46.94580553599995,-50.04163581399998,-48.28746197600007,wug-sep-entire
-46.982309908,-46.16449378399986,-49.231698101999854,-48.01455791600004,wug-all-alone-new
