SG_SG_SG,SG_SG_PL,SG_PL_SG,SG_PL_PL,PL_SG_SG,PL_SG_PL,PL_PL_SG,PL_PL_PL,sent
-95.17005535888671,-99.21228619384766,-96.92414575195312,-97.76847441101074,-101.4992698059082,-102.98794097900392,-101.09182997131347,-99.94555474853516,abductor
-95.69851612854004,-98.31950430297852,-94.97835830688477,-94.2671810913086,-100.17151901245116,-100.58019865417481,-99.45926254272463,-97.64901719665528,aboriginal
-98.4592085723877,-102.03331938171387,-101.73745579528808,-101.85449380493164,-93.7895981903076,-93.96361752319336,-92.31348970031738,-90.09274127197266,aborigine
-95.2215016784668,-98.94678314208984,-96.92696421813964,-97.32503903198244,-96.48896684265137,-97.98716955566408,-95.9634109802246,-94.6759412231445,absentee
-87.77450550842285,-90.55906715393068,-87.93457807922363,-87.53694326782227,-92.77018719482422,-95.19627575683592,-92.47017446899414,-91.33321746826172,abstainer
-98.61000415039062,-102.51004693603515,-99.06689785766602,-99.60815812683106,-99.2798469543457,-100.54442823791504,-99.09315945434572,-97.47524603271485,accumulator
-89.78569995117188,-93.57223452758791,-89.88460810852051,-90.5216527557373,-93.12632368469238,-94.54019956970215,-93.04649723815918,-91.79276722717285,accuser
-91.78576756286621,-96.36820877075195,-93.55958233642578,-95.31697682189942,-95.10178407287596,-96.06152430725098,-94.13306550598145,-92.62615815734863,ace
-102.17401261901855,-106.06208676147459,-101.0737729797363,-101.6267604522705,-102.49526725769043,-102.82806819152832,-101.47844515991213,-99.01034257507324,achiever
-88.9494486694336,-93.00856115722657,-88.722019821167,-89.76634700012207,-88.92469218444825,-90.24053381347656,-87.55272164916992,-86.15039080810547,acquaintance
-89.99210264587403,-93.86295816040041,-92.45107601928713,-93.07060055541992,-96.81556486511231,-97.68048683166504,-96.45985890197754,-94.75402159118653,addict
-97.14174606323242,-100.58913969421387,-97.52994764709473,-97.69341639709472,-94.50732443237305,-95.24186158752441,-94.21218814086916,-92.8676485748291,adherent
-105.64016604614258,-109.2760640411377,-105.60233464050293,-106.17157740783692,-106.75512593078614,-108.72011625671387,-106.667907623291,-105.8537873840332,adjudicator
-93.88350872802734,-97.99624739074707,-93.86896368408205,-94.85916163635254,-96.07242016601562,-98.06660005187989,-96.88709602355956,-96.25563154602051,administrator
-88.7049578704834,-92.77710745239258,-88.82141697692872,-89.59412174987793,-95.24457217407226,-97.02542646789551,-93.9414130706787,-93.01713088989258,admirer
-90.04933808898926,-93.55845002746582,-91.43109312438965,-91.49572682189941,-92.61329684448242,-92.58705615234376,-92.11775073242187,-89.82707455444336,adolescent
-87.62665042114256,-91.18088296508787,-89.33323114013672,-89.23445420837402,-90.88831750488279,-91.15865625,-89.98008169555662,-88.03339251708984,adult
-88.64932124328614,-92.90059776306153,-91.15794348144532,-92.18344021606444,-94.80883882141113,-95.76927836608887,-94.59312336730957,-93.00104705810548,adventurer
