SG_SG_SG,SG_SG_PL,SG_PL_SG,SG_PL_PL,PL_SG_SG,PL_SG_PL,PL_PL_SG,PL_PL_PL,sent
-96.58928962707519,-100.7677633972168,-97.24949212646484,-98.7488321685791,-102.03884397888183,-102.98822341918944,-101.60274952697752,-100.1141190032959,abductor
-97.59777268981934,-99.96089410400393,-96.44410531616212,-95.2966668548584,-102.49483351135254,-102.25936000061036,-100.26362698364258,-97.50853230285645,aboriginal
-100.15825755310058,-103.83581993103027,-99.36691036987305,-99.61619734191895,-96.52674353027344,-96.0909613647461,-94.50956596374512,-91.53369195556641,aborigine
-97.89966038513184,-101.94611717224122,-97.17766915893554,-97.6272925415039,-97.53188687133787,-97.62857708740236,-95.61138955688476,-92.89454655456542,absentee
-87.3988872833252,-89.50218328857422,-86.7815290222168,-85.19843600463867,-94.70609190368653,-95.9008472290039,-93.91559825134277,-91.38960943603516,abstainer
-100.58914228820801,-104.73972985839843,-100.5579483795166,-101.47212480163574,-100.51948957824708,-101.33228335571287,-99.98929167175292,-98.1125570526123,accumulator
-93.30871183776856,-96.89037757873535,-93.98239208984377,-94.29011535644531,-95.18701441955568,-95.90286567687988,-94.48778909301758,-92.69424671936035,accuser
-96.5946730194092,-101.50072096252441,-94.1322452392578,-96.00437718200683,-96.93228361511231,-96.47425381469726,-94.49109744262695,-91.47177102661131,ace
-103.61285600280762,-107.72658161926269,-101.80677500915527,-102.44087632751464,-105.8610504760742,-105.08916174316406,-104.24401272583007,-100.86173489379885,achiever
-93.3743837890625,-97.49362977600096,-91.77103709411621,-92.59337428283692,-90.88278359985351,-91.71753628540041,-89.32314582824706,-87.64441114807128,acquaintance
-91.94615226745606,-95.71873919677736,-91.883715133667,-92.48964624023438,-98.16174237060548,-98.04944444274902,-96.8314955596924,-93.9925802154541,addict
-97.98588781738282,-101.61163989257813,-98.00247848510742,-98.10298411560059,-97.67083006286622,-97.84813687133787,-96.25468733215332,-94.11853155517578,adherent
-104.52777124023436,-107.9120216217041,-104.46583805847168,-104.34472317504884,-106.4512433166504,-108.11550286865234,-104.53191552734377,-103.09556672668457,adjudicator
-94.75032489013672,-98.684952545166,-93.42807482910156,-93.9571120147705,-95.28175196838379,-96.84195709228516,-93.98637431335449,-92.72504536437988,administrator
