SG_SG_SG,SG_SG_PL,SG_PL_SG,SG_PL_PL,PL_SG_SG,PL_SG_PL,PL_PL_SG,PL_PL_PL,sent
-82.26386708068847,-86.91403758239746,-84.16610467529297,-86.50315652465821,-86.69395983886719,-86.3361033782959,-88.37949354553223,-86.16241845703125,abductor
-90.66408982849121,-91.64205671691894,-92.81997776794434,-91.2157000579834,-91.13249293518066,-89.67818965148926,-92.52970831298828,-89.4541155090332,aboriginal
-90.77389575195312,-94.80738523864746,-92.95133833312988,-94.71135273742676,-87.05537098693847,-85.26882011413574,-88.43258135986328,-85.11533892822266,aborigine
-92.36221420288086,-95.28605354309082,-94.7119437713623,-94.3619467163086,-90.49540115356446,-89.02619030761718,-92.13979333496094,-89.12902082824706,absentee
-85.11941487121581,-87.19292465209959,-86.92626335144043,-86.35295429992676,-88.03175207519531,-89.17966184997559,-89.4738444366455,-88.09485128784179,abstainer
-92.14278459167481,-95.86678099060059,-94.7462993927002,-95.8781156463623,-93.37725651550294,-93.48863507080078,-95.13065856933594,-93.40158616638183,accumulator
-81.71297412109375,-86.43384477233887,-83.26944686889648,-85.86287339782714,-84.5378056488037,-83.35566670227051,-86.0672699432373,-83.10072523498535,accuser
-82.30457478332521,-87.95162246704102,-84.09394839477541,-87.65913940429688,-90.17991151428222,-88.75937565612793,-91.39923704528809,-88.74639213562011,ace
-89.84537809753418,-95.0630143737793,-92.4019091796875,-95.37082186889648,-94.53468252563476,-92.58032257080076,-96.24790414428709,-92.99866394042971,achiever
-83.10971083068847,-87.61085711669922,-84.74180929565429,-86.92088632202149,-87.72873126220703,-87.46381623840333,-89.16636967468261,-87.3025380859375,acquaintance
-84.47312629699707,-88.59534408569336,-86.63470870971679,-88.63473872375488,-88.61746701049805,-86.903701171875,-90.0440795288086,-86.73577807617187,addict
-88.01509704589844,-92.12826918029785,-90.32499279785156,-92.33437161254881,-87.90341075134278,-86.47074533081054,-89.35159400939942,-86.6328537902832,adherent
-88.78115707397461,-93.35228494262695,-90.74944012451172,-93.03489837646484,-91.5204137878418,-92.19837971496582,-93.3452606201172,-91.98637115478516,adjudicator
