SG_SG,SG_PL,PL_SG,PL_PL,sent
-58.19993070983887,-63.34889552307129,-64.2718377456665,-63.74817896270752,abductor
-59.46025768280029,-60.63397882843017,-64.15548357391357,-62.246929695129396,aboriginal
-63.726704666137685,-67.7119768371582,-59.84713324737549,-56.82270233154297,aborigine
-61.66261247253418,-65.08675155639648,-61.81104315948486,-59.972271591186534,absentee
-51.504974449157714,-53.34514416503906,-56.47973416137695,-57.17446522521973,abstainer
-67.50900867462158,-70.99673343658448,-68.7121157836914,-68.28769277954102,accumulator
-53.31411110687256,-58.49349365234375,-57.31984412384033,-55.71109775543213,accuser
-54.69811071014404,-60.55853578186035,-59.74484496307373,-57.9350216369629,ace
-63.99369741058349,-69.01278170013428,-70.41728353881834,-67.5580412979126,achiever
-58.52199153137207,-63.600352447509756,-59.612401931762705,-59.32729264831543,acquaintance
-55.24993047332764,-59.76166752624512,-62.8338793258667,-60.843404289245605,addict
-62.027756340026855,-66.25731735229492,-59.658777015686034,-58.18486553192139,adherent
-68.69003336334228,-73.67781794738771,-67.37343355560303,-68.41211078643799,adjudicator
-58.87290380859375,-64.00647650146486,-57.20567951965332,-58.490411422729494,administrator
-57.19488112640381,-61.96474750518799,-61.8720944366455,-61.218985801696775,admirer
-54.084884422302245,-58.099998390197754,-59.4925,-55.74292391967774,adolescent
-57.180255851745606,-61.175046699523925,-58.61863924407959,-55.59969474029541,adult
-53.632681640625,-59.54942176055909,-59.33821308135986,-56.900004821777344,adventurer
-53.40169291687012,-58.43738143920898,-57.362148345947276,-54.79611220550537,adversary
-59.88242999267578,-64.83373767852783,-62.2179281539917,-62.3848602142334,advocate
-57.17598259735107,-61.79408595275879,-57.370167457580564,-57.88507370758057,agent
-67.2516505355835,-71.0812146987915,-68.10072484588623,-67.40571633148194,aggregator
-58.79868334197998,-63.5639469909668,-62.95699321746826,-61.35160820770264,agnostic
-62.30492559051514,-67.30900969696044,-65.27849495697022,-64.69525441741943,agonist
-61.95620490264893,-65.10155508422852,-62.205378273010254,-62.967579986572275,albino
-58.55515037536621,-63.64376346588135,-60.79601290130615,-60.29534051513672,alchemist
-56.581300605773926,-60.436475830078116,-59.40824160003662,-59.03992429351807,alien
-67.24840919494629,-70.29164244842529,-69.07837256622314,-70.32141466522216,allocator
-62.306729347229,-66.17050147247315,-64.79892984771729,-63.24508827972412,amateur
-63.19042140197754,-67.173476852417,-67.4654411239624,-64.59359799194335,amputee
-60.20149497222901,-65.43611273956299,-64.83568552398681,-65.51914038085937,analyst
-57.3091901550293,-61.63091599273682,-59.95839805603028,-58.34425813293457,anarchist
-55.89928908538818,-61.06692888641357,-59.88705519866944,-60.25802598571777,anatomist
-55.97090643310547,-59.55251302337646,-58.88949249267578,-58.957174575805674,anatomy
-57.42163850402832,-61.49061470031738,-56.07084900665284,-54.1675316619873,ancestor
-56.263090209960936,-58.33876898193359,-55.86792766571045,-55.233169860839844,ancient
-55.27198197937012,-59.48276704406738,-54.60947897338867,-54.25451224517822,angel
-53.32892854309082,-57.126914665222166,-56.03962244415283,-53.45856189727783,animal
-56.29953232574463,-61.65299951934814,-58.721325973510744,-58.40148845672607,animator
-57.79863433074952,-63.02333512115479,-63.59599836730957,-64.04570714569091,announcer
-55.35714605712891,-60.78893991851807,-61.032086334228524,-59.78879051208496,antagonist
-58.9297935256958,-64.41596931457521,-68.37472649383545,-68.76966997528076,antiquarian
-58.203314430236816,-63.57353455352784,-59.90663362884521,-59.29632430267334,antiquary
-56.445143699645996,-60.423155197143565,-59.44051382446289,-57.636932945251466,ape
-57.028606941223146,-61.79573392486572,-60.74986611175538,-60.734083473205565,apologist
-60.68551264953614,-64.98830980682374,-68.06619525146485,-67.69694403076171,apostate
-55.79686976623535,-61.702715370178225,-61.18367887115478,-57.41048638153076,applicant
-63.640224754333495,-68.97460079193115,-62.44009995269776,-60.61470889282226,appointee
-55.87936444091797,-60.60574015045166,-59.38916943359375,-60.737205070495605,appointment
-62.71567693328858,-67.79487128448487,-67.68026047515869,-68.17002921295166,arbiter
-61.84119109344483,-66.21277976226807,-62.420807769775394,-61.14831536865234,archer
-57.36119367980957,-62.695750427246104,-61.2492133026123,-60.24196076965332,architect
-61.11879490661621,-66.03532918548584,-67.50648193359375,-68.55874897766114,archivist
-55.9973616104126,-61.52140803527832,-58.793333267211906,-57.419291084289554,aristocrat
-63.37830100250244,-68.49775598144531,-63.330462120056154,-63.990451171875,artificer
-52.827503494262686,-58.219315124511716,-58.163547050476076,-56.62196511840821,artist
-52.64034349060058,-57.70810873413086,-57.40009990692138,-55.40463920593262,ascetic
-63.16301038360596,-67.68543398284912,-68.58569046020507,-65.50052488708496,aspirant
-64.50128231811523,-68.66418155670166,-60.78318670654297,-61.19083173370361,assignee
-58.48155397796631,-62.32907498931885,-58.72803762817383,-58.18883992767334,assistant
-61.33586479949951,-65.64901229095459,-59.80508074951172,-58.73979550933838,associate
-63.882560737609865,-68.08350606536865,-65.54499776458741,-64.24959007263183,asthmatic
-57.88851661682129,-62.88451281738281,-62.714931373596194,-59.97917310333252,astronaut
-55.16933319854736,-60.29366700744629,-61.111585090637206,-57.990514724731455,athlete
-58.05884683990479,-60.83024304962158,-61.13402326202392,-60.69969342803955,attraction
-60.98298461151123,-66.06313425445556,-62.40356879425049,-63.62941304779053,auditor
-50.961518913269046,-56.6574158782959,-59.31789508056641,-59.14165717315674,author
-57.319742904663094,-60.93934307098389,-54.6096081161499,-56.89131762695313,authority
-63.54671655273437,-67.07798244476318,-64.86352341461182,-65.04985688781738,automaton
-57.68310919189453,-62.15756950378418,-60.61265508270264,-59.46850588226318,avatar
-52.51893706512451,-57.13075984191895,-61.06955240631103,-56.60247676849365,baby
-59.28769573974609,-60.87763086700439,-60.46363806152344,-62.30699836730957,balance
-53.55333297729492,-59.03661015319824,-60.48817588043213,-60.19311664581298,banker
-51.163518829345705,-55.771395332336425,-59.102610847473144,-57.3580277633667,barbarian
-56.37836756134033,-59.06900046539307,-60.550303283691406,-58.59905908203125,bather
-55.387970588684084,-60.75802663421631,-59.06822769165039,-56.554153846740725,bearer
-55.02349454498291,-58.857258651733396,-60.49539337921143,-58.99747106170654,beast
