s,p,sent,s_freq,p_freq,freq
5.148964813232425,0.5236587829589823,abductor,15,19,34
1.1737211456298837,1.9085538787841756,aboriginal,830,72,902
3.985272171020519,3.024430915832518,aborigine,20,235,255
3.4241390838623005,1.838771568298327,absentee,111,6,117
1.8401697158813448,-0.6947310638427737,abstainer,4,4,8
3.4877247619628946,0.42442300415038403,accumulator,26,24,50
5.179382545471192,1.6087463684082053,accuser,39,38,77
5.860425071716307,1.8098233261108305,ace,1494,295,1789
5.01908428955079,2.8592422409057434,achiever,25,6,31
5.078360916137683,0.2851092834472766,acquaintance,373,218,591
4.511737052917482,1.990475036621092,addict,145,72,217
4.229561012268064,1.4739114837646454,adherent,66,352,418
4.9877845840454285,-1.0386772308349634,adjudicator,11,5,16
5.1335726928711125,-1.284731903076171,administrator,782,492,1274
4.7698663787841795,0.6531086349487225,admirer,270,182,452
4.015113967895509,3.7495760803222566,adolescent,335,209,544
3.9947908477783187,3.0189445037841764,adult,5529,3574,9103
5.91674011993409,2.4382082595825167,adventurer,192,152,344
5.035688522338859,2.566036140441902,adversary,196,197,393
4.9513076858520435,-0.16693206024169882,advocate,1365,653,2018
4.618103355407719,-0.5149062500000028,agent,5241,3117,8358
3.829564163208005,0.695008514404293,aggregator,443,12,455
4.765263648986817,1.6053850097656195,agnostic,128,33,161
5.004084106445305,0.5832405395507863,agonist,74,65,139
3.1453501815795946,-0.7622017135620212,albino,85,11,96
5.088613090515139,0.5006723861694269,alchemist,112,43,155
3.8551752243041904,0.36831730651854855,alien,3286,1309,4595
3.043233253479002,-1.2430420989990267,allocator,40,39,79
3.8637721252441466,1.5538415679931674,amateur,2233,232,2465
3.9830554504394584,2.871843132019052,amputee,59,28,87
5.2346177673339795,-0.683454856872558,analyst,462,549,1011
4.321725837707518,1.6141399230957134,anarchist,566,321,887
5.167639801025388,-0.37097078704833564,anatomist,72,47,119
3.5816065902709937,-0.06768208312989543,anatomy,1085,3,1088
4.068976196289057,1.9033173446655454,ancestor,931,1088,2019
2.0756787719726546,0.6347578048706026,ancient,6622,134,6756
4.210785064697262,0.3549667282104494,angel,2602,1354,3956
3.7979861221313485,2.581060546875001,animal,5978,7775,13753
5.353467193603514,0.3198375167846734,animator,391,736,1127
5.224700790405265,-0.4497087783813427,announcer,324,99,423
5.43179386138916,1.2432958221435655,antagonist,884,345,1229
5.486175788879407,-0.3949434814453099,antiquarian,296,37,333
5.370220123291027,0.6103093261718726,antiquary,61,75,136
3.978011497497569,1.8035808792114238,ape,207,372,579
4.7671269836425765,0.01578263854981543,apologist,31,24,55
4.302797157287593,0.3692512207031342,apostate,27,9,36
5.905845603942872,3.773192489624023,applicant,269,385,654
5.334376037597657,1.8253910598754999,appointee,73,147,220
