SG_SG_SG,SG_SG_PL,SG_PL_SG,SG_PL_PL,PL_SG_SG,PL_SG_PL,PL_PL_SG,PL_PL_PL,sent
-91.81541125488282,-92.16572259521485,-92.85807489013672,-93.43908094787598,-97.11672883605956,-97.18630593872072,-95.91110093688965,-95.94703450012207,abductor
-90.2433341217041,-90.86608547973631,-88.54240287780762,-89.55548327636718,-93.67479974365234,-94.69613967895508,-92.11753269958496,-93.51519917297364,aboriginal
-93.35072430419922,-93.80270283508301,-95.59323709106444,-96.47091171264648,-87.44757693481445,-88.02115327453613,-85.67972019958495,-85.91284257507324,aborigine
-90.71846739196778,-90.67724551391602,-91.53405963134766,-91.70227087402344,-91.54053623962402,-91.69219035339356,-90.01664389038086,-90.10759999084473,absentee
-82.91717269897461,-83.18729055786133,-82.05086627197265,-82.51462896728516,-87.91441331481934,-88.35381929016113,-86.45257803344727,-86.79457507324219,abstainer
-93.92125775146485,-95.90892112731932,-92.9255288848877,-95.12597161865234,-94.59418441772459,-93.88060552978516,-92.81725970458984,-92.20098550415041,accumulator
-86.24784410095215,-86.20016014099122,-86.11750885009765,-86.24332203674317,-89.19055596923828,-88.99602891540528,-88.59261967468262,-88.3359546661377,accuser
-86.63202932739256,-87.30066592407226,-88.0959780883789,-89.14482051086426,-89.39989886474609,-89.48667385864258,-88.22624919128418,-88.3710149230957,ace
-98.14996237182619,-97.80494464111328,-96.49211239624023,-96.31002131652832,-98.15659686279295,-97.53323316955566,-95.96319160461424,-95.29719429016113,achiever
-85.50250120544433,-86.25261766052246,-83.97853787231445,-85.45428073120117,-85.88395104980471,-85.45793870544432,-83.23837484741209,-82.85366923522949,acquaintance
-82.55471424865722,-84.30485414123534,-82.52021084594726,-84.36617262268065,-86.2088519744873,-86.2254582824707,-83.90205351257325,-83.98718864440917,actor
-82.50788456726075,-84.72217640686036,-81.96333744049072,-84.19514048767091,-86.61162394714356,-87.10818026733398,-84.00655123138428,-84.42264839172363,actress
-84.72739555358886,-85.52915071105956,-86.75873725891114,-87.66494905090332,-91.35445936584473,-91.35562663269043,-90.3653427734375,-90.08652795410157,addict
