SG_SG_SG,SG_SG_PL,SG_PL_SG,SG_PL_PL,PL_SG_SG,PL_SG_PL,PL_PL_SG,PL_PL_PL,sent
-94.09032376098631,-96.55120779418944,-92.85536920166015,-95.4358745422363,-99.89078610229492,-99.25157350158692,-97.61658502197264,-96.83868440246582,abductor
-95.26044235229492,-95.79404460144043,-92.77591020202637,-93.09262907409668,-99.41916732788086,-99.19423414611816,-96.10196279907228,-95.8619852142334,aboriginal
-98.22855993652344,-99.31432272338868,-96.33410972595215,-97.19434843444824,-94.40105192565916,-93.91118981933592,-90.77764038085938,-90.47141613769531,aborigine
-95.89720977783205,-97.59775440979004,-93.71236698913576,-95.33378900146485,-94.80399981689452,-94.58483111572264,-91.52047912597656,-91.31576243591309,absentee
-84.93806301879883,-85.46386163330078,-83.20233967590332,-83.38423521423341,-92.59917347717285,-92.33700529479981,-90.02928507995605,-89.566117477417,abstainer
-96.89076588439941,-99.20978125,-95.36677647399902,-97.80787510681152,-96.87161080932616,-96.13402868652344,-94.69679852294922,-93.98739665222168,accumulator
-90.41375309753418,-91.40582437133787,-90.40140560913086,-91.48899153137206,-92.90195616149904,-93.47287704467772,-92.0237340698242,-92.37796208190916,accuser
-94.42666911315918,-95.47835949707031,-91.37218363952637,-92.4904214477539,-94.82286679077149,-94.26463444519042,-91.40522540283204,-90.78280215454102,ace
-101.08711013793943,-101.59386779785156,-98.17878120422364,-98.63589208984376,-103.32532820129394,-102.79490939331056,-100.09299595642088,-99.52745085144043,achiever
-91.95928985595701,-93.17811291503908,-88.89706913757324,-90.07599839782715,-89.2478360748291,-88.7989440612793,-86.13403498840331,-85.60934097290037,acquaintance
-91.17284925842286,-92.61022604370119,-87.91034065246582,-89.3431142883301,-93.0255199432373,-93.03637963867187,-89.59963313293457,-89.56639006042481,actor
-89.94454833984375,-91.5130443572998,-86.79077682495117,-88.26320085144043,-93.44850991821288,-93.69128338623048,-90.36434669494629,-90.58595547485352,actress
-89.30443989562988,-90.93951008605957,-87.68305863952637,-89.47260505676269,-95.91373931884766,-95.79562316894531,-93.05091229248049,-92.75360430908205,addict
-96.06620765686036,-96.74063627624511,-95.21171508789062,-95.69799211120605,-94.41403775024412,-94.56581790161131,-92.58838256835938,-92.55941098022458,adherent
-101.3890591278076,-102.0692437286377,-100.04687622070313,-101.11491748046878,-104.265088180542,-104.91080570983887,-101.5965613861084,-101.94165362548829,adjudicator
-93.35180874633791,-94.7398762512207,-90.48440258789064,-91.81449047851562,-93.69514576721191,-94.27537161254881,-91.17415467834472,-91.67483279418946,administrator
-90.88282542419434,-92.1373936767578,-87.79315306091308,-89.0119510345459,-96.87641201782226,-96.67938572692871,-94.05639572143556,-93.62761933898926,admirer
-88.76118884277344,-89.61783221435547,-87.02791232299805,-87.60059643554688,-90.8258328704834,-90.25269390869141,-88.25451615905762,-87.49728659057617,adolescent
-89.57068981933594,-90.64295718383791,-87.23489489746093,-88.32880772399902,-89.48562422180176,-89.09629504394532,-87.1485924835205,-86.61985121154785,adult
-90.9884708404541,-92.13013700866699,-87.81178146362305,-89.06572723388672,-93.07014459228516,-92.76100241088865,-90.09216079711912,-89.64890586853028,adventurer
-89.98299583435059,-91.5723437652588,-86.82282557678222,-88.78884037780762,-91.28745904541016,-90.6107218170166,-87.86209822082519,-87.02513346862793,adversary
-92.5637250213623,-93.78571531677248,-92.03755216979981,-93.80352647399904,-93.80477243041992,-95.09047215270996,-93.08571127319335,-94.8870414428711,advocate
-88.0570870513916,-89.88194598388672,-85.30308627319336,-87.51572195434571,-89.15190089416504,-88.40239372253419,-86.48406759643555,-85.76435897827149,agent
-100.94754968261721,-103.03437423706056,-98.10298628234864,-100.28813745117188,-99.95855523681641,-99.6952109375,-97.0353579711914,-96.59586416625976,aggregator
-95.0039423675537,-95.83340046691895,-93.6088143157959,-94.53901426696777,-95.83990490722657,-97.03089051818847,-94.31746607971192,-95.59238876342772,agnostic
-94.1904489440918,-96.23616744995115,-91.8712423248291,-94.19016328430176,-95.56315324401855,-94.88918598937988,-92.88905375671386,-92.08448475646972,agonist
-94.5199760131836,-96.05956976318359,-91.91150346374512,-93.28963912963869,-93.1278636932373,-92.72074389648438,-91.35232855224608,-90.80367063903809,albino
-94.3404817199707,-95.0577335357666,-92.2443911895752,-92.77030894470215,-95.24436140441894,-95.4058676452637,-92.54416812133788,-92.50663996887207,alchemist
-91.51643858337404,-94.64348634338378,-88.27438513183594,-91.23387292480469,-94.17219258117676,-93.08137768554687,-91.19820071411131,-90.02816444396973,alien
-94.9700323638916,-98.24137158203123,-93.67655557250977,-96.87871691894532,-97.825471282959,-98.23539320373536,-96.26758764648436,-96.41157369995119,allocator
-96.89648916625977,-98.07088459777832,-94.25570501708984,-95.28988642883301,-98.4193839111328,-97.97672889709473,-94.90649058532715,-94.3935443725586,amateur
-95.88097557067871,-97.66757043457031,-92.91876820373535,-94.81141275024414,-93.80326391601562,-94.99090060424804,-90.75414819335936,-91.88255778503418,amir
-98.71451933288574,-100.51203715515136,-95.5282723236084,-97.34384350585935,-101.17511543273926,-100.69927488708495,-98.8783049621582,-98.27460798645019,amputee
-94.13206158447264,-95.66891729736328,-92.51911256408691,-94.322562210083,-100.15384130859377,-101.39041059875488,-99.26211744689941,-100.8421436920166,analyst
-92.12012675476076,-92.94715484619141,-89.31313801574707,-90.08542333984373,-94.83038906860351,-94.75319543457032,-92.5155983428955,-92.17660638427736,anarchist
-93.12333171081544,-93.89676571655274,-90.63717793273926,-91.38880322265624,-94.88418121337892,-95.25987484741209,-92.75925364685058,-92.82777287292481,anatomist
-86.04336517333985,-88.978249710083,-85.01468601989747,-87.80311567687988,-92.12664305114744,-91.91761839294432,-89.57330776977541,-89.25548384094239,anatomy
-90.94670135498045,-92.31873309326171,-87.16594825744629,-88.80182069396973,-92.04923849487305,-91.60805705261231,-88.5149515838623,-88.1085693359375,ancestor
-91.51911984252928,-91.89144659423827,-89.58068809509277,-89.52944389343261,-90.47400009155274,-91.32784582519531,-88.71491763305664,-89.51657875061035,ancient
-85.3087495880127,-87.79396966552734,-83.42804638671875,-85.62274502563477,-85.27728210449219,-84.49261866760254,-83.05897268676758,-82.03700740051269,angel
-85.69531826782226,-87.50905960083008,-83.39834916687013,-85.32607525634765,-84.4592705078125,-83.79506486511231,-81.7384384765625,-81.08841424560545,animal
-93.38827749633788,-94.76517123413086,-90.89577323913574,-92.03802490234376,-96.4181671295166,-96.87130801391602,-92.83137524414065,-93.23956999206543,animator
-87.84475138854981,-89.55307566833496,-85.27204621887208,-87.10227761840821,-96.64173733520508,-97.54092346191406,-94.18033201599121,-94.90706781005859,announcer
-90.71296058654785,-92.65755920410156,-87.66291258239747,-89.81056172180176,-94.43748089599607,-93.98385797119141,-91.89531614685059,-91.33990014648438,antagonist
-96.83225973510744,-97.59164097595215,-95.02700646972656,-95.74071116638184,-105.47192124938965,-106.21214054870606,-103.24553858947752,-103.3977762451172,antiquarian
-95.98175982666015,-97.23788374328613,-94.85668731689455,-96.25112770080568,-95.90526847839355,-96.61562991333008,-93.6788558959961,-93.98274937438966,antiquary
-86.55372099304199,-89.83921104431153,-84.2314150238037,-87.49942138671875,-89.88771575927734,-89.2078766784668,-86.6398712310791,-85.77524763488769,ape
-91.20794198608398,-91.98221905517578,-89.74717541503907,-90.06575358581543,-94.89577864074707,-95.90811875915527,-94.30119387817385,-95.45886372375489,apologist
-94.527306930542,-95.70657215881347,-91.99904760742187,-93.09983419799805,-102.39788670349121,-101.9267286529541,-99.69913452148438,-99.03892973327636,apostate
