SG_SG_SG,SG_SG_PL,SG_PL_SG,SG_PL_PL,PL_SG_SG,PL_SG_PL,PL_PL_SG,PL_PL_PL,sent
-90.16378063964844,-91.2074126739502,-91.6686042022705,-92.57545530700683,-97.72051519775393,-96.48987939453123,-99.07960298156738,-96.5185707397461,abductor
-84.65845059204102,-84.80061512756346,-85.69372401428221,-86.0555984954834,-94.34709103393554,-93.51952896118163,-95.55607192993165,-93.69314752197266,aboriginal
-94.7044302368164,-94.86758543395996,-94.92082182312012,-95.64107624816894,-87.0479428100586,-86.21328109741209,-87.97289465332031,-85.99968258666992,aborigine
-89.64954231262207,-90.63487541198731,-90.61967684936523,-91.77798365783691,-87.81157894897461,-86.72199046325683,-89.09620124816894,-87.16066004943848,absentee
-81.11552526855469,-80.9521481781006,-81.34975111389159,-80.58125730895995,-86.16812257385254,-85.79037080383301,-86.51012454223633,-85.10671258544922,abstainer
-91.24014443969726,-91.84699243164064,-92.04123471069336,-92.57890370178222,-90.84498960876465,-89.67794534301758,-90.87701531982422,-88.28411923217773,accumulator
-84.83803193664549,-86.42222216796877,-86.4256131439209,-88.12594462585449,-89.5597265625,-88.03153945922851,-91.16477523803712,-88.62872613525391,accuser
-87.14149989318848,-88.10756648254394,-88.46370335388184,-89.90077731323242,-91.9520464172363,-90.82721340942385,-92.20336558532715,-90.39570462036131,ace
-93.22594801330568,-93.22286328125,-93.52852688598631,-93.94290251159669,-96.62243530273436,-95.27612310791015,-97.03929940795898,-94.98609408569335,achiever
-86.4239705657959,-87.79661180114746,-86.9498373260498,-88.70780854797363,-91.29184268188476,-89.40636390686035,-92.75098362731934,-89.90004205322266,acquaintance
-82.7086028442383,-83.32925009155274,-83.15347142028807,-84.12773941040041,-86.18217340087891,-84.78742149353026,-86.76609629821778,-84.34987281799316,actor
-79.57422817993164,-80.63751737213134,-80.05784378051756,-81.2761148071289,-87.43062496948242,-86.38547872924805,-88.08690496826172,-86.12328453063965,actress
-85.99379679870606,-86.94921527099609,-86.90987474060059,-88.01946098327636,-93.79304458618164,-92.46875340270996,-94.53877680969238,-92.30810020446778,addict
-87.08810131835938,-87.77589254760744,-87.95110855102537,-88.84238919067383,-88.22354747009277,-86.96741876220703,-89.14296463012695,-86.94312040710449,adherent
-94.41611227416992,-96.32597755432128,-95.61347877502442,-97.66289680480958,-99.81639849853515,-99.26040902709958,-101.08044009399414,-99.316288482666,adjudicator
-90.64276518249511,-92.11864909362792,-91.23592895507812,-92.99504066467286,-92.13735369873045,-91.76237771606444,-93.0286069641113,-91.40639576721192,administrator
-86.80258868408201,-88.41682209777832,-87.83015817260744,-89.62264547729492,-94.22718440246582,-92.81313729858398,-95.72088885498049,-93.41923100280762,admirer
-81.337923828125,-81.95208674621583,-81.67612786865234,-82.02432865905763,-87.01048365783691,-85.72086778259278,-87.71578056335449,-85.263169921875,adolescent
-81.64793029022216,-82.68650801086427,-82.57111386108399,-83.2588461303711,-85.39563446044922,-83.35071315765381,-86.55267913818359,-83.22717611694334,adult
-87.51104133605958,-87.52003314208984,-87.9921301574707,-88.27358145141602,-89.33157521057129,-88.51645211791994,-90.69743544006347,-88.81692387390137,adventurer
-86.87449782562256,-87.99572663879394,-87.43832011413575,-88.84102352905273,-89.49450627136231,-88.03554455566406,-90.30734909057615,-87.82237145996093,adversary
-84.66590205383302,-85.62885638427734,-84.9720697631836,-86.25173359680176,-92.56463092041015,-91.61349824523926,-93.58069575500488,-92.0133070526123,advocate
-89.114189453125,-90.60055319213869,-90.70973532104492,-92.45036726379395,-90.33186895751952,-88.6393924407959,-91.759998336792,-89.1071075592041,agent
-90.20646641540527,-90.6982371673584,-90.74975756835936,-91.73611726379394,-91.83763217163086,-90.75126228332519,-92.33522772216794,-89.58660412597656,aggregator
-85.1841418762207,-85.31901110839844,-85.13011291503906,-85.42516345214844,-92.27205235290528,-91.45211854553223,-92.63121699523926,-90.76909597778321,agnostic
-93.75949090576172,-95.18545692443848,-95.48937223815918,-96.62894319152832,-93.78062422180176,-92.364078125,-94.59081996154785,-91.98039183044432,agonist
-87.9192791595459,-88.7396011352539,-88.81336038208008,-89.57041355895996,-90.2554320983887,-89.26533659362794,-91.75842445373536,-89.82464726257324,albino
-91.51839739990234,-92.07229612731932,-92.06107897949221,-92.88959365844728,-94.10527993774414,-93.3424525756836,-95.21721435546877,-93.73989004516602,alchemist
-86.27651541137695,-87.36376512145996,-86.420134765625,-87.63034034729004,-93.11226016235352,-92.05698919677734,-94.15636532592774,-91.22564964294432,alien
-88.49551809692383,-88.93635670471191,-89.56468049621581,-90.75981645202637,-94.25988633728028,-93.4944796295166,-95.39321601867675,-93.98276014709472,allocator
-88.95094346618653,-89.46624627685547,-89.76028273010255,-90.43408946228027,-95.8098193359375,-94.01044023132324,-96.63775471496582,-94.24686158752442,amateur
-95.16904757690428,-95.8371156463623,-95.81783062744141,-97.08334457397459,-85.4551069946289,-86.32149209594726,-85.43361824035645,-86.07745918273926,amir
-92.2242006072998,-93.11162390136718,-92.81907986450196,-94.00084092712402,-96.66797479248045,-95.58098747253418,-97.35562100219728,-95.38975715637207,amputee
-92.62480702209473,-94.13514056396484,-93.49394911193848,-95.15934594726562,-99.20532083129885,-98.07846586608886,-100.69612944030762,-98.44605862426758,analyst
-85.04164335632325,-85.66292518615721,-86.07836215209961,-86.7061770324707,-86.95594868469239,-86.36800271606445,-88.08100714111328,-86.25582220458985,anarchist
-89.7449687347412,-90.51451670837402,-90.4256199493408,-91.38280024719238,-93.6078987426758,-92.42810621643066,-95.27217956542968,-93.08455255126951,anatomist
-84.26839640808106,-84.93630967712403,-85.12443699645995,-86.57517570495605,-84.52964379882812,-83.35783146667481,-85.64693389892578,-83.61683036804199,anatomy
-87.2123948364258,-88.18859426879881,-87.35530723571777,-88.93356361389161,-89.28414501953125,-88.42672160339356,-90.15121324157715,-88.67962210083006,ancestor
-89.18496398925781,-89.11787376403808,-90.23779908752441,-90.26332516479492,-90.18784889221192,-89.63253578186035,-91.49059431457519,-90.24003959655762,ancient
-81.10430876159668,-82.61883757019044,-81.44111528015138,-82.70628421020508,-86.23091184997558,-84.61636332702636,-86.97719267272949,-84.3040924987793,angel
-82.52401983642578,-83.59733773803711,-83.16108828735352,-84.68697288513185,-84.01953674316407,-82.50085592651367,-84.76910079956055,-82.52921307373047,animal
-88.70547418212891,-89.64930967712402,-89.50233177185059,-90.72732978820801,-90.26155038452148,-89.81167481994629,-91.42645686340332,-89.88139086914063,animator
-83.2561149597168,-84.93423721313476,-84.42487648010255,-86.31005361938476,-94.5988858947754,-93.2318271636963,-96.31171327209472,-93.65975880432129,announcer
-88.9138447418213,-89.95560371398926,-89.48939640808105,-90.79421853637696,-90.53011068725586,-88.7183684387207,-91.26283335876465,-88.20240432739256,antagonist
-90.04278382873535,-90.37654760742187,-90.59988302612305,-91.03071453857422,-102.20166859436036,-101.42880307006835,-103.13187210083008,-101.592423248291,antiquarian
-92.05647909545898,-92.40471635437012,-92.39750904846191,-92.95505993652344,-92.5651566772461,-91.39929483032226,-93.3571640777588,-91.1813754119873,antiquary
-88.69382875061035,-89.68675291442871,-89.39581541442871,-90.76709582519531,-91.53937858581543,-90.05984225463867,-92.06159431457519,-89.92411096191407,ape
-86.9846898651123,-87.70673249816895,-88.10194230651855,-89.02808876037598,-91.90561730957032,-90.26058966064451,-93.6237700958252,-91.03601089477542,apologist
-89.23140956115722,-89.8958571472168,-89.86737315368653,-90.77006231689451,-98.25983795166016,-97.17638653564451,-98.85193280029294,-96.75291528320312,apostate
-88.20635179138183,-89.16582514953613,-89.35611622619629,-90.76046276855469,-87.90070709228516,-86.27006297302246,-89.43328894042969,-86.92661167907715,applicant
-93.64590203857422,-94.22923133850098,-94.09941072082519,-95.697013961792,-90.28446148681641,-89.0026035003662,-89.82788496398926,-87.71585481262207,appointee
-85.49755690002442,-85.65529699707031,-86.19441889953613,-87.35743359375,-88.80097453308106,-88.57974438476562,-88.01858981323242,-86.65534411621094,appointment
-89.38458935546875,-90.57420674133301,-90.09616212463379,-91.33183973693848,-95.1108723449707,-94.03389916992188,-96.29519509887696,-94.08905795288086,arbiter
-89.02062983703614,-90.23682890319824,-90.39631105041504,-91.3995810699463,-89.2854885864258,-88.59696263122558,-90.64985391235352,-88.75168766784668,archer
-83.1715927734375,-84.113658203125,-83.29804995727541,-84.54260859680177,-93.05808502197266,-92.28529252624512,-93.6506794128418,-91.95391532897949,architect
-94.19856448364258,-95.47498364257812,-95.21294799804687,-96.30453649902344,-101.06720544433594,-100.28985871887207,-102.47956176757812,-100.61635650634766,archivist
-84.6606406402588,-85.72592593383789,-84.6457592010498,-85.70491236877443,-88.42453330993652,-87.64412614440919,-89.2932919921875,-87.27374217224121,aristocrat
-92.089418258667,-93.89505195617676,-93.81074586486817,-95.61836497497559,-90.54800465393066,-89.97099229431153,-91.41393884277343,-89.85982145690917,artificer
-83.85122094726563,-84.89751881408691,-84.09731126403808,-85.56578741455078,-90.33044566345215,-89.45620831298828,-90.8568898010254,-89.30860615539551,artist
