SG_SG_SG,SG_SG_PL,SG_PL_SG,SG_PL_PL,PL_SG_SG,PL_SG_PL,PL_PL_SG,PL_PL_PL,sent
-82.29206854248045,-84.47595288085938,-84.15176763916016,-85.93675424194336,-88.17765534973145,-84.88630332946778,-89.66632328796386,-86.44018028259278,abductor
-87.72804968261718,-87.67707424926758,-89.10630712890625,-89.18745416259766,-92.27270349121092,-89.91558404541016,-93.10904011535645,-90.99453007507324,aboriginal
-90.67925778198244,-91.83649763488769,-92.48195202636718,-93.29794804382324,-88.05160786437989,-84.90260647583008,-89.1470736541748,-86.25576788330078,aborigine
-90.5804871673584,-89.491215133667,-91.69380117797851,-90.83040330505371,-92.0198796081543,-89.0521350708008,-93.2074578704834,-90.21454800415042,absentee
-85.3172604675293,-84.46588969421387,-86.75354006958008,-85.67683499145508,-87.80285653686524,-86.54731948852539,-89.12266484069825,-87.75611903381348,abstainer
-90.82194741821287,-92.12748197937012,-93.2329436645508,-94.32574531555176,-93.0055602722168,-91.08653450012207,-94.4972862854004,-92.74095109558105,accumulator
-82.58462612915041,-85.36175926208495,-83.70810684204102,-86.28619834899902,-86.88102577209473,-83.36090190124511,-87.49767391967774,-84.00478916931151,accuser
-83.46120823669433,-84.86138296508787,-85.1315549926758,-86.34920883178711,-91.33882167053223,-88.48214979553222,-92.39723588562012,-89.6130717010498,ace
-91.63049122619628,-93.89790171813965,-93.52215078735351,-95.51904780578613,-95.03163763427736,-92.49608837890624,-96.15200393676758,-93.74405587768557,achiever
-83.34291728210451,-84.63200286865235,-84.7047748260498,-85.6616074066162,-88.68927185058594,-86.29260699462891,-89.951654296875,-87.68691827392578,acquaintance
-78.35133239746094,-79.94868798828125,-80.30100329589844,-81.8513660430908,-82.98489082336425,-81.57765998840333,-84.62839172363282,-83.20223684692381,actor
-81.09676835632324,-82.49564576721191,-82.6526320953369,-83.94763037109375,-86.7128537902832,-85.6862656097412,-88.15494932556152,-87.03762519836425,actress
-83.57548493957519,-85.61340184020995,-85.21139402770996,-86.92275840759277,-89.19975495910644,-85.71723495483398,-89.8575245513916,-86.61282360839844,addict
-88.46192384338379,-89.75205966186523,-90.3768900604248,-91.31222596740723,-89.43472956848144,-86.80212593078613,-90.7484797821045,-88.28053953552246,adherent
-89.7385265045166,-90.93643231201172,-91.55522007751465,-92.54724293518066,-93.95289361572266,-91.85283131408691,-95.54286218261718,-93.59121070861816,adjudicator
-85.53733744812011,-87.04450187683105,-86.96471105957029,-88.36503549194336,-87.80080741882324,-86.30220294189455,-89.06398428344727,-87.53259069824219,administrator
-84.36078686523437,-86.38256285095216,-86.07682527160645,-87.67189144897459,-90.46679373168944,-87.56787728881838,-92.50559577941894,-89.62475007629395,admirer
-83.22892445373535,-83.70840150451659,-85.15932258605956,-85.56087348937989,-86.84198580932619,-83.89064109802246,-88.16095191955566,-85.35519746398927,adolescent
-84.67589743041992,-84.8852763671875,-86.38956951904295,-86.61604804992676,-84.44071499633789,-82.14680433654785,-85.63112158203127,-83.36683383178709,adult
-82.72510722351075,-84.1622642364502,-84.32430023193359,-85.61938815307617,-84.9798189086914,-82.62197122192383,-86.57811863708496,-84.13046565246582,adventurer
-83.88894360351563,-86.55900312805176,-85.31733020019531,-87.86272277832032,-87.29909339904785,-84.56343710327148,-88.44419189453123,-85.61954852294922,adversary
-85.23488589477539,-85.61943830871581,-87.37314572143555,-87.61021797180176,-88.59963597106933,-85.67842991638183,-91.01406105041504,-88.35022680664062,advocate
-81.73945596313476,-82.68664331054687,-83.3084274597168,-84.21596575927734,-83.79526483154297,-81.84198753356935,-84.89756652832031,-82.97489453125,agent
-88.9828519744873,-89.6222699432373,-90.18071934509277,-90.69315682983398,-95.66772204589844,-93.45774771118164,-97.16064128112792,-95.10571697998049,aggregator
-89.01326345825196,-87.93109156799316,-91.24168077087404,-90.14250602722169,-90.99059814453123,-87.35494316101074,-92.21116777038574,-88.72115406799317,agnostic
-88.79855595397949,-90.24796650695801,-90.44327795410156,-91.8054009399414,-93.54006045532226,-92.03198251342774,-94.65904513549805,-93.26709898376465,agonist
-89.46307972717285,-88.09314486694336,-91.00241035461426,-89.84767373657226,-89.93532386779785,-87.50230819702148,-91.31966790771484,-89.02445465087891,albino
-85.75513694763184,-86.02581579589844,-87.17417715454101,-87.39650416564942,-88.43333131408691,-86.32583126831055,-89.46905979919434,-87.50344329833985,alchemist
