SG_SG_SG,SG_SG_PL,SG_PL_SG,SG_PL_PL,PL_SG_SG,PL_SG_PL,PL_PL_SG,PL_PL_PL,sent
-59.89362534332275,-63.652674522399906,-64.22827804565429,-62.75174903869629,-65.40213459777831,-68.43212274932861,-64.53571711730957,-61.76849544525147,abductor
-61.59607839202881,-65.0445574645996,-64.82221110534668,-63.11329850769043,-66.58857675933838,-69.2151315460205,-66.92515188598632,-64.15287831878662,aboriginal
-64.99206568145752,-68.92894347381592,-69.5817993774414,-67.73552201080322,-64.15270863342285,-66.99229405975342,-64.13221706390381,-61.3732568359375,aborigine
-65.98088327026367,-69.00470580291748,-68.5955920791626,-66.61145054626465,-67.09586387634279,-70.36461382293702,-68.50426455688475,-66.22297278594971,absentee
-59.821673385620116,-63.02867856597901,-62.07793975830078,-60.213562538146974,-64.29161671447754,-67.40116423797608,-65.56379804992676,-63.579681549072255,abstainer
-68.68004364013672,-72.3997696990967,-72.71162519073486,-71.24502976226806,-69.72035684967041,-72.29409144592285,-69.69269617462159,-67.66630839538574,accumulator
-57.132872291564944,-61.29043516540527,-62.29476399230957,-61.10833018493652,-64.79987170410156,-67.7621408996582,-64.47895204925537,-61.77639464569092,accuser
-60.57311991119385,-64.1585361251831,-64.49836650848388,-62.17205155944824,-66.68611109924315,-69.42954254150389,-66.93535682678223,-64.8298938446045,ace
-66.67678947448731,-70.84495560455322,-71.10950032043458,-69.33020275115967,-71.29567702484131,-73.93439057922362,-70.918212600708,-68.68717874908447,achiever
-61.21735636138916,-64.68346011352538,-65.5327561340332,-63.23238840484619,-67.10256349182129,-70.22826864624024,-67.29022216796875,-65.06466181182861,acquaintance
-56.223432106018066,-59.89207733154297,-60.64206243896484,-58.64635359191895,-59.85955194091797,-62.360914611816405,-60.3748931427002,-57.57545212554932,actor
-57.36315199279785,-61.112102645874025,-61.440508262634275,-59.903775672912595,-60.84298623657226,-63.938351600646975,-61.974413383483885,-59.68260947418213,actress
-60.61362599182129,-64.25046543121339,-64.6453454208374,-62.841798179626466,-69.36751284790039,-72.60328211975097,-67.92059626770019,-65.6717793045044,addict
-67.26781269073486,-70.7177314376831,-70.95669538879396,-69.14587523651123,-63.0916555480957,-66.03892468261719,-63.931362510681154,-61.31315397644043,adherent
-65.00853173065185,-69.1151061630249,-69.76071825408935,-68.42434777069091,-69.08158337402344,-72.35747171783447,-69.26608832550049,-66.60783496856689,adjudicator
-60.640910331726076,-64.67048531341553,-65.29737206268311,-63.98954275512696,-63.66383720397949,-67.3437727355957,-64.36946543121338,-62.03488166046142,administrator
-62.32647518157959,-65.88873072052002,-66.6818493270874,-64.71474463653564,-66.16599869537353,-69.0240952835083,-65.92770642852783,-63.65498102569581,admirer
