SG_SG,SG_PL,PL_SG,PL_PL,sent
-54.4318388748169,-57.30251792907715,-63.07824620819092,-58.14116010284424,abductor
-54.84998258972168,-54.48987897491456,-62.89909075164795,-59.29624210357666,aboriginal
-59.54731701660156,-61.42078568267822,-58.2441838684082,-54.11123181915284,aborigine
-59.5150026550293,-58.24396168518066,-58.74119246673584,-54.86200023651123,absentee
-47.93405516815186,-46.72114373779297,-52.44347358703613,-50.85670457458496,abstainer
-62.7672684173584,-64.36497618865967,-65.75698907470704,-61.98421365356445,accumulator
-50.24548530578613,-54.07356951904297,-56.19885353088379,-51.77873196411133,accuser
-52.04096869659424,-54.74421953582764,-58.43084928131103,-54.33737615966797,ace
-60.577551071166994,-63.575796562194824,-67.41856246948242,-63.82813949584961,achiever
-57.444055870056154,-57.85163551330567,-59.48133899688721,-56.18988172149658,acquaintance
-52.661037658691406,-53.276295303344725,-57.047828956604,-54.374760177612295,actor
-53.410087303161625,-54.23320714569092,-59.57117700195312,-57.790637283325204,actress
-50.46864134979248,-53.17018025970459,-60.830235939025876,-56.14527577972412,addict
-60.087308753967285,-60.32276145172119,-58.114330192565916,-55.23206002807617,adherent
-65.00853476715088,-67.68445421600342,-68.47839604949951,-64.44262363433837,adjudicator
-57.48178184509278,-58.8268750076294,-58.79973998260498,-55.937152153015134,administrator
-54.80652635192871,-56.009697036743155,-61.86578276824951,-57.91260207366943,admirer
-52.34084826660156,-52.902348892211904,-56.50169165802002,-51.967801918029785,adolescent
-55.90988468170166,-56.05859033203125,-55.74977463531494,-52.00338569641113,adult
-51.46837325286865,-53.55000993347168,-56.34119742584228,-51.7082858581543,adventurer
-50.30622943878174,-53.877841720581046,-55.55826071929932,-51.14810388946533,adversary
-58.095237297058105,-58.30594451904297,-60.88500047302246,-57.891567459106454,advocate
-56.48991217041016,-57.31439139556885,-57.10302294158936,-54.29670711517334,agent
-62.41088314056397,-63.728889167785645,-66.41175326538085,-63.03157831573486,aggregator
-57.04329164123535,-55.72412294769287,-62.38358153533935,-57.55180688476562,agnostic
-57.7139027633667,-60.186975936889645,-62.23335786437988,-59.68238845062256,agonist
-58.76080083465576,-57.14604861450195,-59.19345069885254,-56.13676651763916,albino
-57.59133528137207,-57.77320858001709,-60.433272369384774,-57.58718698120117,alchemist
-53.300232933044434,-53.47480310058594,-58.50848580932618,-54.291877616882324,alien
-62.009011589050296,-63.53481323242188,-64.52319424438477,-62.18163810729981,allocator
-61.321638565063466,-59.858719985961905,-63.88168672943115,-60.12862083435058,amateur
-60.239447608947756,-60.5584215927124,-55.120115478515615,-56.01592996215821,amir
-60.32988249206543,-60.21278018951416,-64.97922579956055,-60.437037109375,amputee
-58.0003772354126,-59.301958450317386,-64.22088669586182,-60.27084646606446,analyst
-54.88424819946289,-53.73384078216553,-58.44441881561279,-54.81363224029541,anarchist
-54.83759445953369,-55.686375732421865,-59.46363435363771,-56.37369863128662,anatomist
-51.309233818054196,-52.97753701019287,-55.54951420593262,-53.23943515014648,anatomy
-54.66436183166504,-54.67772649383545,-56.409672897338865,-53.84881127929688,ancestor
-51.90863931274414,-51.37680309295654,-57.469698081970215,-55.02898558807373,ancient
-51.072744392395016,-51.872483947753906,-51.5124136428833,-47.62544676208496,angel
-49.20391128540039,-50.58536363983154,-53.09909649658203,-49.08031008148193,animal
-56.43038606262207,-57.68362734222412,-58.99217972564697,-56.94270658111572,animator
-53.309244102478026,-56.832957565307616,-62.98105454254151,-58.74638632965088,announcer
-51.805289512634275,-54.608408073425295,-58.4310200881958,-54.878592025756845,antagonist
-57.37216117095947,-57.41803496551513,-67.52537049865721,-65.52065421295165,antiquarian
-57.032547454833974,-58.093687126159665,-58.87669300842286,-56.30583193206787,antiquary
-52.29483381652832,-53.60464888000488,-57.03593088531494,-52.49585453796386,ape
-55.8322608795166,-56.31268531799317,-60.6028524093628,-56.08805863189697,apologist
-58.66501840209961,-58.47226198577881,-67.1510937423706,-62.84256810760498,apostate
-54.33381647491455,-56.97172784423828,-58.63364352416992,-54.466378189086925,applicant
-61.15266886138916,-62.79680880737305,-60.16907749938965,-57.48301477050782,appointee
-54.38366790008545,-54.44209471130371,-58.13143599700928,-56.09366205596924,appointment
-58.08153662872314,-60.77036747741699,-66.84601077270507,-63.14967162322998,arbiter
-56.77659606170654,-58.972926856994626,-59.258194396972655,-55.65945709228516,archer
-56.39100664520264,-57.271462829589844,-60.98745024871826,-59.26401206970215,architect
-59.63894580078125,-61.135262535095215,-68.52835493469239,-65.32212731170654,archivist
-54.4757198638916,-56.55425872802734,-57.31252716064453,-53.891497131347656,aristocrat
-58.630632080078115,-61.05847807312012,-62.3490520248413,-59.71239576721192,artificer
-52.00515546417236,-53.00273442077637,-56.726318885803224,-54.80239915466309,artist
-50.79070659637451,-50.0027572555542,-55.556825675964355,-51.58604806518554,ascetic
-59.260418754577636,-60.27918063354493,-66.13271312713623,-63.20478761291504,aspirant
-62.969041015625,-64.20051358032228,-61.939331062316896,-58.055622108459474,assignee
-57.174139610290524,-56.673263679504394,-58.46481382751465,-54.922372856140136,assistant
-60.49838035583496,-59.77367654418946,-58.496586692810055,-55.17312203979492,associate
