SG_SG_SG,SG_SG_PL,SG_PL_SG,SG_PL_PL,PL_SG_SG,PL_SG_PL,PL_PL_SG,PL_PL_PL,sent
-91.7945510559082,-92.37928126525878,-93.0406961364746,-94.4592804107666,-98.48141954040527,-96.99403604125976,-100.16078842163084,-98.26501020812988,abductor
-94.73587887573242,-93.96881604003906,-96.23515646362304,-95.79798962402344,-96.72866178894043,-95.31862380981444,-98.39966612243653,-96.62558367919922,aboriginal
-97.72496612548828,-97.35817410278321,-99.43058226013184,-99.4517279663086,-91.1272266998291,-90.06534918212891,-92.8522018737793,-91.39881858825683,aborigine
-95.2378822479248,-95.44832250976565,-96.37785481262208,-96.90770141601564,-93.44884269714356,-92.42549874877928,-95.07992666625977,-93.42675717163084,absentee
-84.77991703796388,-83.99885569763184,-86.24228718566894,-85.18519659423828,-92.51328898620605,-91.49342126464843,-93.60079653930664,-92.19197900390623,abstainer
-97.75076043701172,-98.33040367126465,-98.75072813415527,-99.99891821289064,-98.40724229431153,-97.22837843322752,-98.97154002380371,-97.28012873840332,accumulator
-92.530669631958,-92.52417578125,-93.83103326416015,-94.09553132629395,-92.36516981506348,-91.13269766235352,-93.83105703735352,-92.41950924682615,accuser
-92.29233248901369,-91.88070709228515,-93.07989157104493,-93.50299169921877,-92.91556285095214,-91.4062451171875,-94.01744610595705,-92.48962689208985,ace
-98.93965837097169,-98.24932850646972,-100.49711029052736,-100.00077629089355,-101.50531486511231,-100.0843145904541,-102.54542668151855,-100.92192196655272,achiever
-91.06167205810549,-91.07167709350584,-92.48042637634278,-92.87162548828123,-89.67281706237793,-88.1139316253662,-91.86749342346191,-89.78802716064453,acquaintance
-87.3238009185791,-87.57919393920898,-88.51034748840333,-89.21846125793456,-88.87147868347168,-88.33650598144531,-90.82265490722656,-89.70953907775879,actor
-88.3694185333252,-88.30931436157226,-89.1319764251709,-89.59555918884277,-91.26194854736327,-90.18311558532714,-92.97477119445801,-91.59286854553223,actress
-88.34351188659667,-88.42737379455566,-89.50063055419922,-89.8479146118164,-93.61533860778809,-92.57441218566895,-94.89055854797363,-93.70477207946777,addict
-93.43460278320312,-93.19889408874512,-94.80813218688965,-94.93616915893554,-89.2155828704834,-87.83161724853515,-91.09613447570801,-89.38714038085938,adherent
-102.48940170288084,-102.16843231201172,-104.59329678344729,-104.42476950073242,-99.5270442199707,-98.4554069519043,-101.91756774902343,-100.6513393096924,adjudicator
