ss,sp,ps,pp,sent,s_freq,p_freq,freq
2.183884338378931,1.7849866027832064,3.2913520202636732,3.2261430053710853,abductor,15,19,34
-0.05097543334960619,0.08114703369140841,2.3571194458007625,2.114510040283207,aboriginal,830,72,902
1.1572398529052492,0.8159960174560581,3.149001388549806,2.891305770874027,aborigine,20,235,255
-1.089272033691401,-0.8633978729248071,2.9677445373534965,2.9929098663329796,absentee,111,6,117
-0.8513707733154234,-1.076705078125002,1.2555370483398463,1.3665458068847727,abstainer,4,4,8
1.3055345611572449,1.0928016510009542,1.9190257720947272,1.756335189819353,accumulator,26,24,50
2.7771331329345372,2.5780915069580033,3.5201238708496163,3.4928847503662297,accuser,39,38,77
1.4001747283935373,1.217653839111307,2.8566718750000035,2.784164184570315,ace,1494,295,1789
2.267410491943366,1.9968970184326196,2.535549255371123,2.407948059082017,achiever,25,6,31
1.2890855865478414,0.9568325805663989,2.3966648559570274,2.264736022949222,acquaintance,373,218,591
1.5973555908203139,1.5503627471923664,1.4072308349609273,1.4261548767090062,actor,8770,6109,14879
1.398877410888673,1.2949982757568534,1.0265881805420065,1.1173241271972643,actress,5705,614,6319
2.0379169006347553,1.7113643798828093,3.482520004272459,3.2447009429931626,addict,145,72,217
1.2901358184814455,0.9353359069824307,2.6326036376953112,2.4679402465820317,adherent,66,352,418
1.1979058074951183,0.9920228576660151,2.100062301635745,1.9516514739990214,adjudicator,11,5,16
1.5071644287109365,1.4003244323730684,1.4986044769286906,1.5313935852050804,administrator,782,492,1274
2.021775985717781,1.595066177368139,2.898916442871055,2.88084570312499,admirer,270,182,452
0.4794770507812416,0.4015509033203273,2.951344711303733,2.8057544555663867,adolescent,335,209,544
0.20937893676757824,0.22647853088380998,2.2939106597900434,2.264287750244179,adult,5529,3574,9103
1.4371570129394513,1.2950879211425814,2.3578476867675704,2.4476529846191397,adventurer,192,152,344
2.6700595245361285,2.5453925781250035,2.7356562957763657,2.824643371582013,adversary,196,197,393
0.38455241394042616,0.23707225036621082,2.9212060546875023,2.663834243774417,advocate,1365,653,2018
0.9471873474121111,0.9075382995605423,1.9532772979736137,1.9226719970703101,agent,5241,3117,8358
0.6394179687499957,0.5124374847412128,2.2099743347168044,2.0549243011474374,aggregator,443,12,455
-1.0821718902587918,-1.0991747436523553,3.635654983520496,3.4900137023925737,agnostic,128,33,161
1.4494105529785202,1.3621229858398465,1.508077941894527,1.3919461517333929,agonist,74,65,139
-1.3699348602294918,-1.1547366180419942,2.4330156707763706,2.295213256835936,albino,85,11,96
0.2706788482665985,0.2223270111084048,2.107500045776362,1.9656165008544946,alchemist,112,43,155
0.9184581222533978,0.8512700195312277,2.960508712768572,2.7695875244140495,alien,3286,1309,4595
1.3477529754638766,1.071854293823236,1.5531852569580167,1.3839081268310451,allocator,40,39,79
-1.6101850128173822,-1.470902023315432,2.227459442138681,2.0848411407470735,amateur,2233,232,2465
0.5121570129394541,0.3351639556884578,-0.7164925842285186,-0.13597938537596121,amir,541,4,545
-0.471426620483399,-0.455956756591803,2.915292282104488,2.7212274627685673,amputee,59,28,87
1.917646423339832,1.7016158294677695,2.8159508819580026,2.666813720703132,analyst,462,549,1011
-0.5738028106689512,-0.37115069580077886,2.538175750732435,2.4422443237304634,anarchist,566,321,887
1.5087489318847673,1.4067499694824193,1.5185704040527241,1.2014000091552504,anatomist,72,47,119
1.432833587646499,1.233794647216797,2.179950531005872,2.176560531616218,anatomy,1085,3,1088
1.2075606384277222,1.1613289337158221,2.1457464294433493,2.2043650970459083,ancestor,931,1088,2019
-0.172366317749038,-0.0288598785400751,1.86244718933105,1.8528776397704974,ancient,6622,134,6756
1.7486363143920869,1.6566207962036117,2.5373510055542,2.47568931579589,angel,2602,1354,3956
1.6935139312744099,1.3563314819335943,2.684360496520995,2.4667786178588926,animal,5978,7775,13753
1.3823496246337896,1.2375277404785265,1.6931054534912136,1.6910890045165985,animator,391,736,1127
1.7713406677246155,1.582205169677735,1.9875198516845671,1.9147770233154233,announcer,324,99,423
2.0000280151367207,1.64149876403809,3.0134572601318155,2.925928985595718,antagonist,884,345,1229
1.3297078399658346,1.4643707733154372,0.7476406555175856,0.47241954040526934,antiquarian,296,37,333
1.2207812805175848,1.0696412048339852,1.0052871246337958,0.9031322631836076,antiquary,61,75,136
0.9278074798584299,0.7788344726562286,3.6154220733642575,3.360490234375007,ape,207,372,579
1.0508719177246064,0.9154206695556439,3.334606048584007,3.0601439666747865,apologist,31,24,55
0.6260748443603603,0.6102504577636552,2.900467987060537,2.860117614746116,apostate,27,9,36
1.2725019836425844,1.101066772460939,3.253246261596672,3.2844940948486396,applicant,269,385,654
1.4167499237060497,1.164801910400385,2.2277265624999956,2.3552935485839868,appointee,73,147,220
-0.018468185424808325,-0.24685972595214878,1.9727828521728554,2.0666859588623083,appointment,2742,656,3398
0.7558163299560618,0.5183353729247955,2.4190183563232495,2.228922988891597,arbiter,248,22,270
1.6665334625244128,1.3708160705566286,2.5977758331298872,2.6088802185058597,archer,950,324,1274
1.159122299194351,1.0554438018799033,1.7543464202881012,1.7606062774658255,architect,2373,1256,3629
1.4100164184570332,1.1837816162109362,1.581905822753896,1.3820374603271404,archivist,71,13,84
1.5070003204345568,1.2626417694091714,2.424567123413084,2.378807891845696,aristocrat,138,191,329
0.9895854644775426,0.5642387542724521,1.8461014862060523,1.820873550415044,artificer,12,7,19
1.3865233459472392,1.2827939758300744,1.6489095153808506,1.6071224060058569,artist,9094,7385,16479
-0.28616920471192486,-0.4210918579101701,2.4521106262207155,2.409083633422867,ascetic,142,50,192
1.6498561859131087,1.3220500183105486,2.3570291595459167,2.392767974853527,aspirant,29,15,44
0.6956275939941463,0.5200512847900285,2.162450256347654,1.9876065521240065,assignee,10,5,15
0.016289306640629775,-0.0371680603027329,2.1631640472412244,2.1791546020507866,assistant,5266,498,5764
0.11669905090332122,0.2955481567382918,2.421195739746082,2.2525800933837985,associate,1675,1268,2943
-0.04776411437985928,-0.05866073608397926,3.497375930786106,3.257338531494156,asthmatic,33,5,38
0.7153766632080192,0.3306533813476733,2.1438974609375094,2.0988195037841706,astronaut,433,438,871
1.9801521606445363,1.555813049316427,2.683093795776344,2.574914047241208,athlete,1335,2410,3745
1.8854838104248017,1.7823541259765676,1.9214826660156348,1.8069211730957022,attraction,1582,735,2317
1.3295744628906192,1.2264877014160191,2.5862824859619167,2.3313785095214854,auditor,184,97,281
1.1431993103027338,0.9875292663574129,2.5430505599975675,2.505261367797843,author,7640,3461,11101
1.5920768508911038,1.4404147949218498,2.4204446258544863,2.327596984863277,authority,7524,5340,12864
1.8682448272705159,1.6021931152343996,1.542702819824214,1.5186360626220647,automaton,39,43,82
2.766698150634781,2.133843170166017,2.3957356719970733,2.20480705261231,avatar,888,182,1070
0.878967704772947,0.8154005508422841,1.8737117004394435,1.8315412139892544,baby,4303,480,4783
1.6995914459228487,1.474634643554694,2.270887908935549,2.1771993560791287,balance,2775,122,2897
0.9502263336181613,0.8431883850097392,1.7034984130859385,1.5487263946533432,banker,372,252,624
0.5740868988037136,0.4234025573730378,2.7091084442138538,2.595461273193365,barbarian,318,163,481
0.669962448120117,0.247481704711916,2.690886352539067,2.652951583862304,bather,7,25,32
2.2050507202148424,1.7897239761352637,2.741529861450175,2.5240266571045,bearer,374,150,524
1.5909671173095603,1.40692653656005,2.5870357971191424,2.317560348510753,beast,1214,238,1452
1.561185302734387,1.1793679656982476,3.123192733764654,2.9814317932128915,beater,46,11,57
1.5830852050781203,1.0099976043701275,3.1035415496826033,3.092572479248048,beginner,59,78,137
1.3007944793701114,1.0418385772705108,2.8463577423095643,2.6630319519043013,behemoth,83,3,86
1.5456805572509893,1.1455855865478526,2.8160191802978574,2.6277597198486404,beholder,54,3,57
1.3042765197754136,0.9920644378662047,2.1208143615722577,1.9587247924804672,being,69128,978,70106
2.61185610961914,2.1730113830566182,2.7201551208496113,2.617804779052733,believer,355,228,583
-0.5747349700927771,-0.607723861694339,3.0991129302978493,2.9428225097656195,belligerent,111,42,153
-1.5235259399414076,-1.3107482452392532,2.0825500335693476,2.0576667327880926,beloved,547,4,551
0.6468638000488198,0.4082477874755881,2.8723607482910154,2.904594650268564,benefactor,187,94,281
1.8220393676757851,1.3772658843994208,2.305112594604495,2.340854476928726,bidder,118,56,174
0.42221466064452784,0.35513252258299133,2.306105575561517,2.2013163452148348,billionaire,174,31,205
0.5349540710449219,0.46693139648436954,1.7116540374755829,1.5846977539062692,biologist,293,237,530
-1.0651636810302705,-0.7352394256591879,3.5244277496337872,3.1802516784667887,bisexual,298,9,307
2.251570999145514,1.9501289215087922,2.3038986053466743,2.324292098999024,biter,12,4,16
0.19155795288085642,0.195771774291984,2.4966604461669846,2.4418161926269732,bleacher,42,88,130
1.1304102478027431,0.9485498657226827,2.615467346191437,2.513170074462863,blogger,162,89,251
-0.6024825515747096,-0.6184255065918052,2.7593055267333995,2.6810442199707154,blonde,641,31,672
0.5310718383789066,0.27540473937987997,2.842864929199223,2.5972392730713096,boater,9,57,66
1.6308176422118805,1.3727037811279246,2.377862503051759,2.2537727508544947,boatman,23,25,48
1.44034789276121,1.215287071228019,2.145771163940438,2.0605687255859237,body,17987,5562,23549
1.8623890380859223,1.5609865112304675,2.17635821533203,2.1324824218749967,bodybuilder,30,5,35
1.1471865234374974,0.9122577209472524,2.2096759490966775,2.149509643554694,bomber,2167,2884,5051
1.7184548645019504,1.51244866943361,2.6508165893554576,2.4680386047363214,bondsman,3,5,8
-0.27254681396483704,-0.27921900939941224,1.60725448608396,1.4562584838867139,boob,11,18,29
0.7012784423828151,0.3932591094970803,3.1342537689208996,2.958328689575197,bookmaker,37,73,110
0.3943849487304618,0.3020746612548777,2.4931907653808594,2.530966201782249,boomer,66,27,93
0.6314990539550678,0.4888083801269403,2.536613494873052,2.5260449066161925,booster,281,98,379
1.26343978881836,1.2404674987792959,1.1529739837646389,1.052574859619142,boss,2156,471,2627
1.7752564849853343,1.4053705444335947,2.7368817749023435,2.659225830078114,bowman,455,22,477
0.41305590820311977,0.36716125488280227,2.3040320587158334,2.262585418701164,boxer,550,129,679
1.94118344116211,1.5760810852050753,2.6736331481933746,2.7148279418945265,boy,7855,4928,12783
1.4096435852050746,1.3166818542480456,2.3163773651123023,2.3194343719482475,boyfriend,1689,74,1763
1.1082422943115375,0.7377104034423922,1.6864896392822146,1.5785224304199517,brawler,28,5,33
0.4352539672851492,0.18810104370118097,2.406607406616203,2.3840529022216685,broadcaster,515,297,812
1.0974425354003898,0.9442739257812605,1.4718985290527513,1.4615378417968827,brother,12442,6567,19009
