ss,pp,sent,s_freq,p_freq,freq
3.7590491790771523,2.767221672058106,abductor,15,19,34
3.448479072570798,2.7722735671997043,aboriginal,830,72,902
3.936877792358402,2.7589602279663126,aborigine,20,235,255
3.02382253265381,2.2812917709350415,absentee,111,6,117
3.207005180358891,1.9841165008545047,abstainer,4,4,8
3.719726058959978,2.026387779235847,accumulator,26,24,50
4.157562873840327,2.702557403564448,accuser,39,38,77
3.585416213989255,2.105462982177727,ace,1494,295,1789
4.168166130065913,2.231033851623536,achiever,25,6,31
3.4661037521362275,2.225560356140136,acquaintance,373,218,591
3.668645225524905,2.7994410171508832,actor,8770,6109,14879
3.7489506530761716,2.2918039093017555,actress,5705,614,6319
3.636839439392098,2.248816963195793,addict,145,72,217
3.449918746948242,2.618208534240722,adherent,66,352,418
4.106574432373051,2.6582533569335993,adjudicator,11,5,16
4.02957498168945,2.334583770751962,administrator,782,492,1274
3.562255538940427,2.272725402832016,admirer,270,182,452
3.351986038208004,2.9408215942382867,adolescent,335,209,544
3.6956078033447355,2.781966758728018,adult,5529,3574,9103
3.572136039733877,3.0634189147949016,adventurer,192,152,344
4.1393939361572265,2.599070983886719,adversary,196,197,393
3.5872068099975536,2.0778979949951264,advocate,1365,653,2018
3.994313034057619,2.771987251281743,agent,5241,3117,8358
3.6750395355224583,2.367082794189457,aggregator,443,12,455
3.357141868591306,2.9975176239013734,agnostic,128,33,161
3.9118341903686513,1.9961415328979513,agonist,74,65,139
3.0998661422729583,1.7991440124511797,albino,85,11,96
3.8761514663696346,2.997228340148922,alchemist,112,43,155
3.6078765945434625,2.835022071838381,alien,3286,1309,4595
3.7189962463378947,1.7043172531127908,allocator,40,39,79
3.2971464233398393,2.480483024597177,amateur,2233,232,2465
4.111857482910153,1.5250551300048727,amir,541,4,545
3.481458145141602,2.1119663238525206,amputee,59,28,87
4.220107688903795,3.1771485900878957,analyst,462,549,1011
3.6574879989624023,2.6454208526611325,anarchist,566,321,887
3.836911834716794,2.2629594192504925,anatomist,72,47,119
3.4070044479370125,1.9057500381469623,anatomy,1085,3,1088
3.5495662689208984,2.407581336975099,ancestor,931,1088,2019
3.152124977111818,2.2327306518554693,ancient,6622,134,6756
3.9005782623290983,1.9825840988159271,angel,2602,1354,3956
3.3362701492309554,2.9506744537353526,animal,5978,7775,13753
3.8735532608032273,2.4139631652832065,animator,391,736,1127
3.619611763000485,2.3305226211547776,announcer,324,99,423
4.2358279647827075,2.770521957397463,antagonist,884,345,1229
3.9241649703979533,2.642492698669443,antiquarian,296,37,333
4.0394907608032256,2.4470655212402335,antiquary,61,75,136
3.7988938751220687,2.646705192565925,ape,207,372,579
3.5856657714843863,2.4123295593261744,apologist,31,24,55
3.719474983215335,2.682348495483396,apostate,27,9,36
4.0868115997314405,2.902423866271974,applicant,269,385,654
3.87506896209716,2.4040914230346715,appointee,73,147,220
3.4291345520019547,1.76754415130614,appointment,2742,656,3398
4.248924255371094,2.909682586669902,arbiter,248,22,270
3.722067810058597,2.766237159729002,archer,950,324,1274
3.714960182189934,3.0329329147338697,architect,2373,1256,3629
4.413371307373048,2.675027748107908,archivist,71,13,84
4.005573379516598,2.4872902069091793,aristocrat,138,191,329
3.8241727905273493,2.5566645812988185,artificer,12,7,19
3.779878616333008,2.6297415542602636,artist,9094,7385,16479
3.478340324401863,2.5912265014648383,ascetic,142,50,192
3.5077351455688586,2.886614860534678,aspirant,29,15,44
3.9697286682128947,2.4510625839233313,assignee,10,5,15
3.372034477233889,2.6337769012451133,assistant,5266,498,5764
3.2794156723022425,2.292528831481931,associate,1675,1268,2943
3.1359853057861287,2.2407562637329193,asthmatic,33,5,38
3.913814910888668,2.7049553375244244,astronaut,433,438,871
4.011108039855962,2.8768607940673903,athlete,1335,2410,3745
2.972840713500979,2.54196308135986,attraction,1582,735,2317
3.939195968627928,2.327560600280762,auditor,184,97,281
4.088288085937499,3.159903892517093,author,7640,3461,11101
3.707130989074713,2.858271415710462,authority,7524,5340,12864
3.607476074218752,2.074392921447739,automaton,39,43,82
4.101602462768547,2.178196418762191,avatar,888,182,1070
3.7048485946655276,2.1496357574462905,baby,4303,480,4783
2.970662902832032,0.8739854965210085,balance,2775,122,2897
3.854354782104487,1.7209087600707846,banker,372,252,624
3.4611258468627923,3.0220095977783146,barbarian,318,163,481
3.669699684143069,2.5215643539428783,bather,7,25,32
4.347961067199705,2.1127803268432643,bearer,374,150,524
4.095418312072752,2.356637435913086,beast,1214,238,1452
3.971958763122558,2.682406112670904,beater,46,11,57
3.537350746154793,2.2358635330200087,beginner,59,78,137
3.7366602859497036,2.3512924118042093,behemoth,83,3,86
3.9670219497680748,2.852139465332044,beholder,54,3,57
3.2006250839233346,3.3358054275512714,being,69128,978,70106
3.6898057250976564,3.0786536483764593,believer,355,228,583
3.4476442718506064,2.261303009033199,belligerent,111,42,153
3.270894607543937,2.3114385757446314,beloved,547,4,551
4.114969177246088,2.3484754333496056,benefactor,187,94,281
4.188676307678222,2.761779731750508,bidder,118,56,174
3.9597831802367978,2.4252556991577023,billionaire,174,31,205
4.011268013000475,3.0187675933837923,biologist,293,237,530
3.5018152465820407,2.6336348114013646,bisexual,298,9,307
4.040931358337396,1.4284782485961927,biter,12,4,16
3.0188259887695352,1.7462314071655243,bleacher,42,88,130
3.421549301147465,2.506649002075193,blogger,162,89,251
2.874784255981446,1.2723127059936488,blonde,641,31,672
3.538236167907712,2.5170603408813577,boater,9,57,66
4.006442596435548,2.2065593566894535,boatman,23,25,48
3.6610429916381904,2.5722101440429697,body,17987,5562,23549
3.9714796752929686,1.7928918075561597,bodybuilder,30,5,35
3.8072504730224637,2.7198804626464934,bomber,2167,2884,5051
